dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499765,11.250000,0.000656,0.065582,3.279110,163.955515,0.000188
0.020000,4.499916,11.250000,0.000807,0.007540,-2.902126,-309.061794,0.000067
0.020000,4.504004,11.250000,0.004895,0.204399,9.842970,637.254791,6.283012
0.020000,4.512322,11.249997,0.013213,0.415901,10.575083,36.605634,6.282653
0.020000,4.523408,11.249988,0.024298,0.554288,6.919347,-182.786780,6.282179
0.020000,4.537257,11.249970,0.038148,0.692463,6.908762,-0.529265,6.281593
0.020000,4.553865,11.249938,0.054755,0.830374,6.895556,-0.660310,6.280899
0.020000,4.573224,11.249886,0.074114,0.967968,6.879690,-0.793271,6.280102
0.020000,4.595328,11.249808,0.096218,1.105192,6.861223,-0.923371,6.279208
0.020000,4.620167,11.249697,0.121058,1.241994,6.840083,-1.057011,6.278223
0.020000,4.647733,11.249545,0.148625,1.378321,6.816335,-1.187402,6.277157
0.020000,4.678015,11.249345,0.178907,1.514121,6.789994,-1.317020,6.276016
0.020000,4.711001,11.249089,0.211894,1.649341,6.760999,-1.449769,6.274810
0.020000,4.746678,11.248767,0.247572,1.783929,6.729407,-1.579588,6.273549
0.020000,4.785033,11.248373,0.285929,1.917833,6.695222,-1.709266,6.272245
0.020000,4.826050,11.247896,0.326949,2.051002,6.658422,-1.839996,6.270908
0.020000,4.869714,11.247330,0.370617,2.183383,6.619056,-1.968296,6.269552
0.020000,4.916008,11.246667,0.416915,2.314925,6.577100,-2.097789,6.268190
0.020000,4.964913,11.245900,0.465827,2.445576,6.532560,-2.227028,6.266836
0.020000,5.016411,11.245024,0.517332,2.575285,6.485467,-2.354614,6.265505
0.020000,5.070482,11.244032,0.571412,2.704001,6.435806,-2.483079,6.264214
0.020000,5.127105,11.242922,0.628046,2.831673,6.383592,-2.610695,6.262979
0.020000,5.186257,11.241692,0.687211,2.958249,6.328792,-2.740021,6.261816
0.020000,5.247916,11.240340,0.748884,3.083678,6.271459,-2.866602,6.260746
0.020000,5.312057,11.238869,0.813043,3.207909,6.211548,-2.995595,6.259787
0.020000,5.378656,11.237282,0.879660,3.330890,6.149056,-3.124598,6.258958
0.020000,5.447687,11.235585,0.948712,3.452570,6.083970,-3.254271,6.258281
0.020000,5.519122,11.233786,1.020170,3.572895,6.016284,-3.384328,6.257778
0.020000,5.592934,11.231898,1.094006,3.691814,5.945949,-3.516746,6.257471
0.020000,5.669094,11.229934,1.170192,3.809273,5.872952,-3.649830,6.257383
0.020000,5.747573,11.227913,1.248696,3.925218,5.797252,-3.785029,6.257538
0.020000,5.828338,11.225857,1.329488,4.039595,5.718807,-3.922214,6.257962
0.020000,5.911359,11.223790,1.412535,4.152346,5.637571,-4.061812,6.258681
0.020000,5.996603,11.221743,1.497803,4.263416,5.553507,-4.203227,6.259721
0.020000,6.084035,11.219749,1.585258,4.372747,5.466540,-4.348329,6.261110
0.020000,6.173621,11.217848,1.674864,4.480280,5.376657,-4.494170,6.262878
0.020000,6.265323,11.216082,1.766583,4.585956,5.283779,-4.643882,6.265053
0.020000,6.359104,11.214501,1.860377,4.689713,5.187891,-4.794391,6.267667
0.020000,6.454924,11.213159,1.956207,4.791493,5.088999,-4.944622,6.270751
0.020000,6.552743,11.212114,2.054032,4.891235,4.987073,-5.096296,6.274338
0.020000,6.652519,11.211433,2.153809,4.988878,4.882133,-5.246986,6.278461
