dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500235,8.750000,0.000656,0.065582,3.279110,163.955515,0.000188
0.020000,4.500084,8.750000,0.000807,0.007540,-2.902126,-309.061794,0.000067
0.020000,4.503571,8.750000,0.004294,0.174346,8.340314,562.121996,6.283012
0.020000,4.510992,8.749997,0.011715,0.371086,9.836977,74.833108,6.282653
0.020000,4.520893,8.749989,0.021616,0.495028,6.197107,-181.993484,6.282179
0.020000,4.533277,8.749973,0.033999,0.619181,6.207672,0.528280,6.281593
0.020000,4.548148,8.749945,0.048871,0.743599,6.220895,0.661149,6.280899
0.020000,4.565515,8.749898,0.066238,0.868334,6.236737,0.792067,6.280102
0.020000,4.585384,8.749828,0.086107,0.993439,6.255242,0.925256,6.279208
0.020000,4.607763,8.749728,0.108486,1.118965,6.276340,1.054911,6.278223
0.020000,4.632662,8.749591,0.133385,1.244967,6.300081,1.187060,6.277157
0.020000,4.660091,8.749410,0.160815,1.371496,6.326470,1.319436,6.276016
0.020000,4.690062,8.749177,0.190788,1.498605,6.355439,1.448433,6.274810
0.020000,4.722588,8.748883,0.223314,1.626346,6.387028,1.579472,6.273549
0.020000,4.757681,8.748522,0.258410,1.754770,6.421228,1.709995,6.272245
0.020000,4.795358,8.748085,0.296088,1.883930,6.458005,1.838867,6.270908
0.020000,4.835632,8.747563,0.336366,2.013878,6.497391,1.969263,6.269552
0.020000,4.878521,8.746948,0.379259,2.144665,6.539348,2.097878,6.268190
0.020000,4.924042,8.746234,0.424786,2.276343,6.583870,2.226068,6.266836
0.020000,4.972214,8.745414,0.472965,2.408962,6.630974,2.355219,6.265505
0.020000,5.023057,8.744482,0.523817,2.542575,6.680636,2.483109,6.264214
0.020000,5.076591,8.743433,0.577362,2.677232,6.732866,2.611515,6.262979
0.020000,5.132839,8.742263,0.633621,2.812985,6.787631,2.738244,6.261816
0.020000,5.191822,8.740970,0.692619,2.949884,6.844987,2.867796,6.260746
0.020000,5.253566,8.739553,0.754379,3.087982,6.904900,2.995630,6.259787
0.020000,5.318094,8.738016,0.818925,3.227330,6.967388,3.124408,6.258958
0.020000,5.385433,8.736360,0.886285,3.367980,7.032467,3.253951,6.258281
0.020000,5.455611,8.734593,0.956484,3.509983,7.100168,3.385044,6.257778
0.020000,5.528655,8.732724,1.029552,3.653393,7.170494,3.516285,6.257471
0.020000,5.604595,8.730766,1.105518,3.798263,7.243491,3.649875,6.257383
