dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500204,3.550000,0.000650,0.064976,3.248808,162.440421,6.283022
0.020000,0.500117,3.550000,0.000736,0.004333,-3.032138,-314.047314,6.283092
0.020000,0.501634,3.550000,0.002253,0.075840,3.575310,330.372380,0.000045
0.020000,0.509170,3.550001,0.009790,0.376823,15.049184,573.693735,0.000254
0.020000,0.519218,3.550005,0.019837,0.502390,6.278354,-438.541523,0.000532
0.020000,0.531777,3.550014,0.032396,0.627926,6.276758,-0.079812,0.000882
0.020000,0.546845,3.550030,0.047464,0.753417,6.274575,-0.109156,0.001303
0.020000,0.564422,3.550058,0.065041,0.878857,6.272019,-0.127799,0.001795
0.020000,0.584507,3.550099,0.085126,1.004238,6.269046,-0.148656,0.002362
0.020000,0.607098,3.550160,0.107717,1.129552,6.265699,-0.167314,0.003002
0.020000,0.632193,3.550244,0.132813,1.254787,6.261759,-0.197023,0.003718
0.020000,0.659792,3.550358,0.160412,1.379939,6.257565,-0.209715,0.004510
0.020000,0.689891,3.550507,0.190512,1.504995,6.252797,-0.238356,0.005381
0.020000,0.722490,3.550698,0.223111,1.629949,6.247739,-0.252904,0.006332
0.020000,0.757585,3.550938,0.258207,1.754793,6.242167,-0.278641,0.007365
0.020000,0.795174,3.551236,0.295797,1.879515,6.236087,-0.303979,0.008481
0.020000,0.835255,3.551600,0.335879,2.004109,6.229699,-0.319403,0.009683
0.020000,0.877824,3.552039,0.378450,2.128563,6.222730,-0.348451,0.010973
0.020000,0.922878,3.552565,0.423508,2.252874,6.215519,-0.360558,0.012353
0.020000,0.970414,3.553187,0.471048,2.377027,6.207688,-0.391517,0.013826
0.020000,1.020429,3.553918,0.521069,2.501015,6.199391,-0.414861,0.015395
0.020000,1.072919,3.554769,0.573565,2.624831,6.190802,-0.429459,0.017062
0.020000,1.127880,3.555756,0.628535,2.748465,6.181676,-0.456274,0.018829
0.020000,1.185306,3.556891,0.685973,2.871905,6.172009,-0.483360,0.020701
0.020000,1.245195,3.558190,0.745876,2.995145,6.162008,-0.500077,0.022681
0.020000,1.307541,3.559669,0.808239,3.118175,6.151512,-0.524779,0.024771
0.020000,1.372339,3.561346,0.873059,3.240986,6.140554,-0.547886,0.026975
0.020000,1.439584,3.563238,0.940330,3.363569,6.129118,-0.571843,0.029298
0.020000,1.509270,3.565366,1.010048,3.485914,6.117271,-0.592320,0.031742
0.020000,1.581391,3.567748,1.082209,3.608012,6.104876,-0.619749,0.034311
0.020000,1.655940,3.570407,1.156806,3.729854,6.092126,-0.637504,0.037011
0.020000,1.732912,3.573366,1.233834,3.851431,6.078819,-0.665361,0.039844
0.020000,1.812299,3.576649,1.313289,3.972733,6.065103,-0.685793,0.042816
0.020000,1.894093,3.580281,1.395164,4.093751,6.050942,-0.708063,0.045931
0.020000,1.978288,3.584288,1.479454,4.214477,6.036280,-0.733105,0.049193
0.020000,2.064873,3.588698,1.566152,4.334901,6.021201,-0.753945,0.052608
0.020000,2.153842,3.593542,1.655252,4.455015,6.005697,-0.775175,0.056180
0.020000,2.245184,3.598850,1.746748,4.574810,5.989769,-0.796417,0.059915
0.020000,2.338890,3.604654,1.840634,4.694277,5.973316,-0.822652,0.063818
0.020000,2.434950,3.610988,1.936902,4.813409,5.956602,-0.835668,0.067893
0.020000,2.533352,3.617889,2.035546,4.932196,5.939379,-0.861174,0.072148
0.020000,2.634085,3.625393,2.136558,5.050633,5.921843,-0.876783,0.076586
0.020000,2.737138,3.633541,2.239933,5.168711,5.903888,-0.897761,0.081215
0.020000,2.842497,3.642371,2.345661,5.286425,5.885721,-0.908362,0.086039
0.020000,2.950149,3.651928,2.453736,5.403767,5.867094,-0.931365,0.091065
0.020000,3.060080,3.662256,2.564151,5.520733,5.848295,-0.939933,0.096299
0.020000,3.172274,3.673401,2.676897,5.637318,5.829242,-0.952637,0.101747
0.020000,3.286716,3.685412,2.791968,5.753518,5.810026,-0.960824,0.107414
0.020000,3.403388,3.698340,2.909354,5.869330,5.790585,-0.972011,0.113308
0.020000,3.522274,3.712236,3.029050,5.984753,5.771141,-0.972209,0.119435
0.020000,3.643354,3.727156,3.151045,6.099786,5.751640,-0.975072,0.125800
0.020000,3.766608,3.743157,3.275334,6.214429,5.732161,-0.973961,0.132410
0.020000,3.892016,3.760297,3.401908,6.328686,5.712836,-0.966216,0.139271
0.020000,4.019555,3.778636,3.530759,6.442560,5.693699,-0.956850,0.146390
0.020000,4.149203,3.798240,3.661880,6.556057,5.674864,-0.941770,0.153771
0.020000,4.280934,3.819172,3.795264,6.669185,5.656423,-0.922027,0.161422
0.020000,4.414722,3.841501,3.930903,6.781956,5.638537,-0.894342,0.169348
0.020000,4.550541,3.865296,4.068790,6.894381,5.621224,-0.865625,0.177554
0.020000,4.688362,3.890630,4.208920,7.006476,5.604746,-0.823918,0.186046
0.020000,4.828153,3.917576,4.351285,7.118259,5.589165,-0.779058,0.194828
0.020000,4.969885,3.946211,4.495880,7.229753,5.574687,-0.723871,0.203906
0.020000,5.113522,3.976614,4.642700,7.340979,5.561340,-0.667344,0.213283
0.020000,5.259031,4.008863,4.791739,7.451971,5.549566,-0.588735,0.222964
0.020000,5.406373,4.043043,4.942994,7.562757,5.539334,-0.511563,0.232951
