dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.300000,0.000650,0.064976,3.248808,162.440421,6.283022
0.020000,0.500000,2.300000,0.003249,0.194929,6.497617,162.440421,6.283092
0.020000,0.501690,2.300000,0.008447,0.324881,6.497617,-0.000000,0.000045
0.020000,0.509487,2.300001,0.016244,0.454833,6.497617,-0.000000,0.000254
0.020000,0.519884,2.300005,0.026640,0.584786,6.497617,0.000000,0.000532
0.020000,0.532879,2.300014,0.039635,0.714738,6.497617,-0.000000,0.000882
0.020000,0.548473,2.300032,0.055230,0.844690,6.497617,0.000000,0.001303
0.020000,0.566666,2.300060,0.073423,0.974643,6.497617,0.000000,0.001795
0.020000,0.587459,2.300103,0.094215,1.104595,6.497617,-0.000000,0.002362
0.020000,0.610850,2.300166,0.117607,1.234547,6.497617,0.000000,0.003002
0.020000,0.636840,2.300253,0.143597,1.364500,6.497617,0.000000,0.003718
0.020000,0.665430,2.300371,0.172187,1.494452,6.497617,-0.000000,0.004510
0.020000,0.696618,2.300525,0.203375,1.624404,6.497617,-0.000000,0.005381
0.020000,0.730405,2.300723,0.237163,1.754357,6.497617,0.000000,0.006332
0.020000,0.766791,2.300972,0.273550,1.884309,6.497617,-0.000000,0.007365
0.020000,0.805775,2.301281,0.312535,2.014261,6.497617,-0.000000,0.008481
0.020000,0.847358,2.301658,0.354120,2.144214,6.497617,0.000000,0.009683
0.020000,0.891540,2.302115,0.398304,2.274166,6.497617,0.000000,0.010973
0.020000,0.938319,2.302660,0.445087,2.404118,6.497617,-0.000000,0.012353
0.020000,0.987697,2.303306,0.494469,2.534071,6.497617,0.000000,0.013826
0.020000,1.039672,2.304066,0.546450,2.664023,6.497617,0.000000,0.015395
0.020000,1.094245,2.304951,0.601030,2.793975,6.497617,-0.000000,0.017062
0.020000,1.151415,2.305977,0.658209,2.923928,6.497617,0.000000,0.018829
0.020000,1.211181,2.307159,0.717987,3.053880,6.497617,0.000000,0.020701
0.020000,1.273544,2.308511,0.780364,3.183832,6.497617,-0.000000,0.022681
0.020000,1.338502,2.310053,0.845340,3.313785,6.497617,0.000000,0.024771
0.020000,1.406054,2.311801,0.912915,3.443737,6.497617,-0.000000,0.026975
0.020000,1.476201,2.313775,0.983089,3.573689,6.497617,0.000000,0.029298
0.020000,1.548940,2.315995,1.055863,3.703642,6.497617,0.000000,0.031742
0.020000,1.624271,2.318484,1.131235,3.833594,6.497617,-0.000000,0.034311
0.020000,1.702193,2.321263,1.209206,3.963546,6.497617,0.000000,0.037011
0.020000,1.782704,2.324359,1.289777,4.093499,6.497617,0.000000,0.039844
0.020000,1.865803,2.327795,1.372946,4.223451,6.497617,-0.000000,0.042816
0.020000,1.951487,2.331599,1.458715,4.353403,6.497617,0.000000,0.045931
0.020000,2.039754,2.335800,1.547083,4.483356,6.497617,-0.000000,0.049193
0.020000,2.130603,2.340428,1.638049,4.613308,6.497617,-0.000000,0.052608
0.020000,2.224030,2.345514,1.731615,4.743260,6.497617,0.000000,0.056180
0.020000,2.320033,2.351093,1.827780,4.873213,6.497617,0.000000,0.059915
0.020000,2.418608,2.357198,1.926543,5.003165,6.497617,-0.000000,0.063818
0.020000,2.519751,2.363868,2.027906,5.133117,6.497617,0.000000,0.067893
0.020000,2.623458,2.371141,2.131868,5.263070,6.497617,-0.000000,0.072148
0.020000,2.729724,2.379058,2.238429,5.393022,6.497617,-0.000000,0.076586
0.020000,2.838545,2.387661,2.347589,5.522974,6.497617,0.000000,0.081215
