dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499797,1.050000,0.000656,0.065597,3.279858,163.992898,6.283023
0.020000,0.499884,1.050000,0.000743,0.004373,-3.061215,-317.053634,6.283093
0.020000,0.501830,1.050000,0.002690,0.097306,4.646636,385.392516,0.000047
0.020000,0.509965,1.050001,0.010824,0.406736,15.471529,541.244673,0.000258
0.020000,0.520812,1.050006,0.021671,0.542354,6.780890,-434.531944,0.000539
0.020000,0.534372,1.050015,0.035232,0.678009,6.782746,0.092811,0.000892
0.020000,0.550646,1.050033,0.051506,0.813706,6.784865,0.105952,0.001316
0.020000,0.569635,1.050063,0.070495,0.949454,6.787390,0.126230,0.001814
0.020000,0.591341,1.050109,0.092200,1.085265,6.790537,0.157331,0.002385
0.020000,0.615763,1.050175,0.116623,1.221145,6.793993,0.172818,0.003031
0.020000,0.642905,1.050267,0.143765,1.357101,6.797841,0.192391,0.003754
0.020000,0.672768,1.050391,0.173628,1.493146,6.802218,0.218861,0.004554
0.020000,0.705353,1.050553,0.206214,1.629287,6.807048,0.241487,0.005433
0.020000,0.740663,1.050762,0.241524,1.765532,6.812254,0.260330,0.006393
0.020000,0.778700,1.051025,0.279562,1.901890,6.817909,0.282718,0.007436
0.020000,0.819466,1.051351,0.320329,2.038373,6.824132,0.311142,0.008563
0.020000,0.862964,1.051750,0.363829,2.174985,6.830594,0.323129,0.009778
0.020000,0.909196,1.052232,0.410064,2.311740,6.837757,0.358154,0.011080
0.020000,0.958166,1.052809,0.459037,2.448642,6.845116,0.367957,0.012475
0.020000,1.009875,1.053493,0.510751,2.585703,6.853052,0.396778,0.013963
0.020000,1.064328,1.054296,0.565210,2.722934,6.861569,0.425864,0.015548
0.020000,1.121527,1.055233,0.622416,2.860340,6.870285,0.435800,0.017232
0.020000,1.181476,1.056320,0.682375,2.997935,6.879720,0.471753,0.019018
0.020000,1.244178,1.057572,0.745089,3.135722,6.889399,0.483939,0.020911
0.020000,1.309637,1.059006,0.810564,3.273716,6.899667,0.513392,0.022911
0.020000,1.377856,1.060642,0.878802,3.411924,6.910425,0.537881,0.025024
0.020000,1.448838,1.062497,0.949809,3.550355,6.921552,0.556378,0.027253
0.020000,1.522589,1.064594,1.023590,3.689020,6.933208,0.582777,0.029602
0.020000,1.599111,1.066954,1.100148,3.827927,6.945351,0.607173,0.032073
0.020000,1.678409,1.069601,1.179490,3.967086,6.957986,0.631743,0.034673
0.020000,1.760485,1.072560,1.261620,4.106505,6.970931,0.647238,0.037404
0.020000,1.845345,1.075857,1.346544,4.246196,6.984580,0.682448,0.040270
0.020000,1.932992,1.079521,1.434267,4.386167,6.998531,0.697550,0.043278
0.020000,2.023430,1.083579,1.524796,4.526427,7.012988,0.722870,0.046430
0.020000,2.116662,1.088065,1.618136,4.666985,7.027893,0.745265,0.049732
