dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499960,3.550000,0.000652,0.065207,3.260361,163.018054,0.000032
0.020000,0.499974,3.550000,0.000666,0.000671,-3.226787,-324.357410,0.000021
0.020000,0.500079,3.550000,0.000771,0.005265,0.229688,172.823751,6.283185
0.020000,0.507943,3.550000,0.008635,0.393213,19.397400,958.385604,6.283153
0.020000,0.518428,3.549999,0.019120,0.524232,6.550957,-642.322152,6.283112
0.020000,0.531532,3.549998,0.032224,0.655207,6.548735,-0.111111,6.283062
0.020000,0.547255,3.549996,0.047946,0.786126,6.545952,-0.139132,6.283004
0.020000,0.565594,3.549992,0.066286,0.916978,6.542618,-0.166712,6.282939
0.020000,0.586549,3.549986,0.087241,1.047753,6.538720,-0.194916,6.282868
0.020000,0.610118,3.549977,0.110810,1.178438,6.534277,-0.222145,6.282792
0.020000,0.636299,3.549966,0.136990,1.309024,6.529263,-0.250682,6.282714
0.020000,0.665088,3.549951,0.165780,1.439498,6.523708,-0.277744,6.282635
0.020000,0.696485,3.549933,0.197177,1.569850,6.517596,-0.305601,6.282557
0.020000,0.730487,3.549910,0.231179,1.700068,6.510921,-0.333740,6.282482
0.020000,0.767090,3.549883,0.267781,1.830142,6.503696,-0.361244,6.282413
0.020000,0.806291,3.549852,0.306983,1.960060,6.495914,-0.389103,6.282351
0.020000,0.848087,3.549816,0.348779,2.089812,6.487578,-0.416829,6.282300
0.020000,0.892475,3.549775,0.393167,2.219386,6.478685,-0.444655,6.282263
0.020000,0.939450,3.549732,0.440142,2.348770,6.469237,-0.472393,6.282242
0.020000,0.989009,3.549685,0.489701,2.477955,6.459231,-0.500295,6.282241
0.020000,1.041148,3.549636,0.541840,2.606928,6.448670,-0.528028,6.282263
0.020000,1.095861,3.549587,0.596553,2.735679,6.437550,-0.556019,6.282311
0.020000,1.153145,3.549539,0.653837,2.864197,6.425875,-0.583772,6.282390
0.020000,1.212995,3.549494,0.713687,2.992470,6.413635,-0.611986,6.282503
0.020000,1.275404,3.549456,0.776096,3.120486,6.400840,-0.639716,6.282654
0.020000,1.340369,3.549428,0.841061,3.248236,6.387475,-0.668254,6.282848
0.020000,1.407883,3.549413,0.908575,3.375707,6.373563,-0.695618,6.283089
0.020000,1.477941,3.549416,0.978633,3.502889,6.359073,-0.724480,0.000197
0.020000,1.550536,3.549443,1.051228,3.629769,6.344004,-0.753451,0.000546
0.020000,1.625663,3.549499,1.126355,3.756337,6.328392,-0.780624,0.000957
0.020000,1.703315,3.549592,1.204007,3.882580,6.312195,-0.809865,0.001435
0.020000,1.783484,3.549728,1.284176,4.008489,6.295404,-0.839548,0.001984
0.020000,1.866165,3.549918,1.366857,4.134050,6.278067,-0.866823,0.002612
0.020000,1.951350,3.550170,1.452042,4.259253,6.260141,-0.896329,0.003323
0.020000,2.039031,3.550496,1.539724,4.384084,6.241591,-0.927471,0.004123
0.020000,2.129201,3.550908,1.629895,4.508535,6.222509,-0.954119,0.005018
0.020000,2.221851,3.551418,1.722547,4.632590,6.202777,-0.986587,0.006015
0.020000,2.316974,3.552042,1.817671,4.756240,6.182514,-1.013174,0.007121
0.020000,2.414560,3.552796,1.915261,4.879472,6.161565,-1.047420,0.008341
0.020000,2.514602,3.553697,2.015306,5.002273,6.140083,-1.074113,0.009684
0.020000,2.617089,3.554764,2.117799,5.124632,6.117942,-1.107070,0.011155
0.020000,2.722012,3.556018,2.222730,5.246537,6.095231,-1.135504,0.012762
0.020000,2.829361,3.557481,2.330089,5.367974,6.071855,-1.168805,0.014513
0.020000,2.939127,3.559177,2.439868,5.488931,6.047871,-1.199228,0.016415
0.020000,3.051298,3.561133,2.552056,5.609398,6.023341,-1.226478,0.018476
0.020000,3.165863,3.563377,2.666643,5.729359,5.998062,-1.263941,0.020705
0.020000,3.282811,3.565938,2.783619,5.848804,5.972225,-1.291859,0.023109
0.020000,3.402130,3.568849,2.902973,5.967721,5.945835,-1.319509,0.025697
0.020000,3.523807,3.572144,3.024695,6.086095,5.918701,-1.356720,0.028478
0.020000,3.647830,3.575861,3.148774,6.203915,5.891039,-1.383081,0.031460
0.020000,3.774184,3.580037,3.275197,6.321171,5.862791,-1.412393,0.034653
0.020000,3.902856,3.584716,3.403954,6.437850,5.833916,-1.443781,0.038066
0.020000,4.033831,3.589941,3.535033,6.553940,5.804527,-1.469444,0.041707
0.020000,4.167093,3.595760,3.668422,6.669431,5.774538,-1.499439,0.045588
0.020000,4.302625,3.602221,3.804108,6.784313,5.744129,-1.520439,0.049717
0.020000,4.440411,3.609378,3.942079,6.898577,5.713152,-1.548845,0.054104
0.020000,4.580432,3.617285,4.082324,7.012213,5.681828,-1.566230,0.058760
0.020000,4.722669,3.626003,4.224828,7.125214,5.650064,-1.588177,0.063694
0.020000,4.867103,3.635591,4.369579,7.237575,5.618056,-1.600419,0.068918
0.020000,5.013712,3.646115,4.516565,7.349291,5.585769,-1.614312,0.074440
0.020000,5.162473,3.657643,4.665772,7.460358,5.553344,-1.621289,0.080272
0.020000,5.313363,3.670245,4.817188,7.570776,5.520892,-1.622588,0.086424
0.020000,5.466357,3.683997,4.970799,7.680546,5.488503,-1.619429,0.092906
0.020000,5.621429,3.698977,5.126592,7.789672,5.456334,-1.608487,0.099729
0.020000,5.778550,3.715264,5.284555,7.898163,5.424523,-1.590519,0.106903
0.020000,5.937691,3.732945,5.444676,8.006028,5.393242,-1.564044,0.114437
0.020000,6.098822,3.752107,5.606942,8.113283,5.362765,-1.523887,0.122342
0.020000,6.261908,3.772842,5.771341,8.219945,5.333104,-1.483035,0.130626
0.020000,6.426915,3.795244,5.937861,8.326041,5.304809,-1.414730,0.139300
0.020000,6.593806,3.819412,6.106493,8.431597,5.277797,-1.350612,0.148372
0.020000,6.762542,3.845447,6.277226,8.536653,5.252788,-1.250445,0.157849
0.020000,6.933083,3.873453,6.450051,8.641246,5.229642,-1.157310,0.167739
0.020000,7.105384,3.903539,6.624960,8.745427,5.209043,-1.029945,0.178049
0.020000,7.279401,3.935815,6.801945,8.849250,5.191168,-0.893765,0.188785
0.020000,7.455086,3.970394,6.981000,8.952781,5.176541,-0.731340,0.199950
0.020000,7.632389,4.007393,7.162122,9.056089,5.165397,-0.557177,0.211549
0.020000,7.811257,4.046930,7.345307,9.159260,5.158548,-0.342466,0.223584
0.020000,7.991634,4.089125,7.530555,9.262368,5.155432,-0.155822,0.236056
0.020000,8.173465,4.134102,7.717865,9.365529,5.158045,0.130692,0.248963
0.020000,8.356689,4.181983,7.907242,9.468840,5.165546,0.375014,0.262305
0.020000,8.534504,4.230985,8.091686,9.222170,-12.333526,-874.953579,0.275445
0.020000,8.721500,4.285182,8.286378,9.734619,25.622495,1897.801065,0.288707
0.020000,8.910439,4.342655,8.483865,9.874342,6.986135,-931.818046,0.301820
0.020000,9.101307,4.403442,8.684178,10.015646,7.065177,3.952125,0.314759
0.020000,9.294089,4.467576,8.887348,10.158523,7.143861,3.934191,0.327499
0.020000,9.488775,4.535087,9.093408,10.302971,7.222414,3.927656,0.340014
0.020000,9.685357,4.605995,9.302387,10.448963,7.299581,3.858349,0.352279
0.020000,9.883827,4.680318,9.514317,10.596483,7.375999,3.820911,0.364272
0.020000,10.084181,4.758065,9.729227,10.745503,7.451014,3.750747,0.375966
0.020000,10.286418,4.839238,9.947146,10.895992,7.524462,3.672376,0.387339
0.020000,10.490540,4.923836,10.168105,11.047916,7.596202,3.587042,0.398369
0.020000,10.696553,5.011847,10.392130,11.201238,7.666080,3.493853,0.409031
0.020000,10.904464,5.103255,10.619248,11.355921,7.734146,3.403324,0.419306
0.020000,11.114289,5.198037,10.849486,11.511927,7.800282,3.306797,0.429171
0.020000,11.326042,5.296163,11.082871,11.669217,7.864537,3.212733,0.438606
0.020000,11.539748,5.397594,11.319426,11.827757,7.926963,3.121327,0.447591
0.020000,11.755432,5.502287,11.559176,11.987510,7.987688,3.036230,0.456107
0.020000,11.973126,5.610190,11.802145,12.148447,8.046817,2.956486,0.464135
0.020000,12.192868,5.721244,12.048356,12.310538,8.104578,2.888029,0.471656
0.020000,12.414701,5.835384,12.297831,12.473760,8.161087,2.825450,0.478651
0.020000,12.638674,5.952537,12.550593,12.638094,8.216697,2.780511,0.485105
0.020000,12.864842,6.072622,12.806663,12.803525,8.271540,2.742127,0.490998
0.020000,13.093265,6.195551,13.066064,12.970043,8.325924,2.719189,0.496313
0.020000,13.324012,6.321228,13.328817,13.137646,8.380142,2.710929,0.501034
0.020000,13.557158,6.449550,13.594944,13.306335,8.434434,2.714574,0.505142
0.020000,13.792784,6.580404,13.864466,13.476118,8.489154,2.735993,0.508620
0.020000,14.030979,6.713669,14.137406,13.647007,8.544475,2.766081,0.511451
0.020000,14.271838,6.849217,14.413787,13.819023,8.600787,2.815598,0.513616
0.020000,14.515464,6.986907,14.693631,13.992188,8.658237,2.872504,0.515097
0.020000,14.761402,7.126271,14.976310,14.133987,7.089981,-78.412809,0.515874
0.020000,15.008068,7.266183,15.259893,14.179149,2.258069,-241.595576,0.515936
0.020000,15.241465,7.398712,15.528292,13.419955,-37.959691,-2010.888048,0.521068
0.020000,15.463141,7.528691,15.785265,12.848642,-28.565665,469.701314,0.538782
0.020000,15.685283,7.663606,16.045167,12.995103,7.323079,1794.437210,0.552068
0.020000,15.908153,7.802391,16.307717,13.127460,6.617833,-35.262288,0.561150
0.020000,16.132071,7.944033,16.572673,13.247801,6.017069,-30.038236,0.566220
0.020000,16.357410,8.087562,16.839840,13.358358,5.527838,-24.461539,0.567435
0.020000,16.584582,8.232047,17.109067,13.461344,5.149311,-18.926314,0.564916
0.020000,16.814030,8.376581,17.380243,13.558814,4.873476,-13.791765,0.558750
0.020000,17.046217,8.520269,17.653294,13.652554,4.687030,-9.322325,0.548997
0.020000,17.281611,8.662215,17.928174,13.744013,4.572920,-5.705477,0.535693
0.020000,17.520676,8.801506,18.204858,13.834183,4.508522,-3.219884,0.518859
0.020000,17.763850,8.937197,18.483328,13.923525,4.467102,-2.071001,0.498508
0.020000,18.011525,9.068307,18.763566,14.011858,4.416631,-2.523571,0.474655
0.020000,18.264021,9.193804,19.045529,14.098197,4.316953,-4.983911,0.447333
0.020000,18.521552,9.312611,19.329144,14.180727,4.126515,-9.521888,0.416601
0.020000,18.784195,9.423604,19.614277,14.256673,3.797282,-16.461636,0.382566
0.020000,19.051852,9.525642,19.900724,14.322341,3.283397,-25.694240,0.345391
0.020000,19.324215,9.617588,20.188189,14.373222,2.544038,-36.967986,0.305313
0.020000,19.600747,9.698358,20.476274,14.404278,1.552801,-49.561814,0.262650
0.020000,19.880666,9.766975,20.764481,14.410344,0.303306,-62.474792,0.217801
0.020000,20.162966,9.822630,21.052215,14.386701,-1.182129,-74.271712,0.171242
0.020000,20.446449,9.864741,21.338809,14.329685,-2.850809,-83.434031,0.123508
0.020000,20.729786,9.892997,21.623551,14.237129,-4.627797,-88.849382,0.075168
0.020000,21.011596,9.907382,21.905728,14.108840,-6.414470,-89.333636,0.026793
0.020000,21.290527,9.908177,22.184660,13.946599,-8.112030,-84.878004,6.262115
0.020000,21.565331,9.895927,22.459737,13.753822,-9.638861,-76.341560,6.215249
0.020000,21.834924,9.871399,22.730444,13.535342,-10.923965,-64.255221,6.169795
0.020000,22.098422,9.835519,22.996374,13.296514,-11.941439,-50.873708,6.126076
0.020000,22.355159,9.789308,23.257236,13.043119,-12.669744,-36.415216,6.084327
0.020000,22.600033,9.734993,23.508062,12.541283,-25.091808,-621.103212,6.045806
0.020000,22.846575,9.670024,23.763020,12.747928,10.332270,1771.203877,6.004607
0.020000,23.092733,9.593605,24.020768,12.887360,6.971619,-168.032502,5.959088
0.020000,23.337844,9.504468,24.281583,13.040768,7.670355,34.936800,5.909024
0.020000,23.580909,9.401360,24.545613,13.201525,8.037881,18.376263,5.854296
0.020000,23.820533,9.283163,24.812802,13.359431,7.895272,-7.130449,5.794950
0.020000,24.054882,9.149049,25.082813,13.500553,7.056138,-41.956663,5.731255
0.020000,24.281718,8.998666,25.354971,13.607869,5.365805,-84.516677,5.663750
0.020000,24.498515,8.832319,25.628233,13.663139,2.763482,-130.116167,5.593271
0.020000,24.702679,8.651088,25.901231,13.649882,-0.662871,-171.317635,5.520916
0.020000,24.891836,8.456833,26.172368,13.556855,-4.651324,-199.422623,5.447961
0.020000,25.064125,8.252053,26.439983,13.380771,-8.804217,-207.644666,5.375739
0.020000,25.218407,8.039624,26.702527,13.127183,-12.679414,-193.759879,5.305491
0.020000,25.354345,7.822485,26.958708,12.809034,-15.907452,-161.401891,5.238251
0.020000,25.472337,7.603361,27.207580,12.443628,-18.270280,-118.141389,5.174776
0.020000,25.573358,7.384573,27.448564,12.049188,-19.722002,-72.586123,5.115531
0.020000,25.658755,7.167956,27.681407,11.642133,-20.352760,-31.537885,5.060717
0.020000,25.728313,6.960634,27.900086,10.933961,-35.408586,-752.791286,5.013694
0.020000,25.783482,6.774003,28.094701,9.730746,-60.160744,-1237.607901,4.985307
0.020000,25.833578,6.583382,28.291795,9.854696,6.197510,3317.912718,4.952848
0.020000,25.877604,6.388804,28.491291,9.974804,6.005362,-9.607435,4.916380
0.020000,25.914534,6.190478,28.693026,10.086742,5.596909,-20.422660,4.876031
0.020000,25.943341,5.988833,28.896718,10.184612,4.893540,-35.168448,4.832028
0.020000,25.963056,5.784558,29.101942,10.261205,3.829617,-53.196109,4.784710
0.020000,25.972833,5.578619,29.308113,10.308560,2.367744,-73.093687,4.734547
0.020000,25.972031,5.372244,29.514490,10.318853,0.514640,-92.655180,4.682130
0.020000,25.960287,5.166869,29.720200,10.285499,-1.667680,-109.116022,4.628159
0.020000,25.937573,4.964052,29.924285,10.204242,-4.062828,-119.757395,4.573401
0.020000,25.904215,4.765354,30.125764,10.073944,-6.514914,-122.604309,4.518642
0.020000,25.860874,4.572220,30.323701,9.896857,-8.854372,-116.972866,4.464630
0.020000,25.810921,4.393465,30.509305,9.280168,-30.834424,-1099.002614,4.415548
0.020000,25.751442,4.215091,30.697334,9.401488,6.065977,1845.020063,4.365293
0.020000,25.683615,4.041512,30.883694,9.317987,-4.175012,-512.049440,4.314286
0.020000,25.607978,3.873785,31.067687,9.199667,-5.916007,-87.049744,4.263086
0.020000,25.525300,3.712892,31.248580,9.044634,-7.751658,-91.782591,4.212280
0.020000,25.436548,3.559676,31.425646,8.853278,-9.567811,-90.807650,4.162451
0.020000,25.342826,3.414778,31.598212,8.628318,-11.248013,-84.010060,4.114135
0.020000,25.245309,3.278609,31.765698,8.374316,-12.700092,-72.603982,4.067798
0.020000,25.145169,3.151340,31.927640,8.097110,-13.860283,-58.009517,4.023812
0.020000,25.043519,3.032924,32.083702,7.803064,-14.702297,-42.100708,3.982445
0.020000,24.941367,2.923125,32.233671,7.498439,-15.231271,-26.448721,3.943866
0.020000,24.839590,2.821570,32.377448,7.188888,-15.477531,-12.313008,3.908156
0.020000,24.738925,2.727785,32.515032,6.879167,-15.486080,-0.427444,3.875315
0.020000,24.639970,2.641241,32.646492,6.573022,-15.307208,8.943614,3.845287
0.020000,24.543200,2.561386,32.771957,6.273225,-14.989893,15.865768,3.817971
0.020000,24.448977,2.487669,32.891590,5.981667,-14.577879,20.600681,3.793233
0.020000,24.357572,2.419559,33.005580,5.699522,-14.107252,23.531347,3.770923
0.020000,24.269177,2.356559,33.114128,5.427397,-13.606271,25.049035,3.750881
0.020000,24.183925,2.298207,33.217438,5.165477,-13.095990,25.514068,3.732944
0.020000,24.101900,2.244083,33.315711,4.913644,-12.591614,25.218781,3.716949
0.020000,24.023148,2.193808,33.409143,4.671596,-12.102418,24.459821,3.702741
0.020000,23.947685,2.147043,33.497920,4.438889,-11.635337,23.354057,3.690170
0.020000,23.875509,2.103487,33.582221,4.215011,-11.193916,22.071052,3.679094
0.020000,23.806599,2.062872,33.662209,3.999433,-10.778908,20.750391,3.669381
0.020000,23.740922,2.024963,33.738041,3.791609,-10.391212,19.384815,3.660907
0.020000,23.678438,1.989553,33.809862,3.591010,-10.029925,18.064324,3.653555
0.020000,23.619100,1.956459,33.877804,3.397135,-9.693741,16.809217,3.647219
0.020000,23.562856,1.925523,33.941995,3.209512,-9.381178,15.628117,3.641799
0.020000,23.509653,1.896606,34.002549,3.027699,-9.090658,14.526041,3.637200
0.020000,23.459436,1.869585,34.059574,2.851284,-8.820743,13.495725,3.633338
0.020000,23.412147,1.844356,34.113172,2.679890,-8.569700,12.552178,3.630132
0.020000,23.367732,1.820825,34.163435,2.513162,-8.336384,11.665791,3.627506
0.020000,23.326135,1.798913,34.210451,2.350777,-8.119260,10.856196,3.625392
0.020000,23.287301,1.778550,34.254299,2.192427,-7.917515,10.087249,3.623725
0.020000,23.251178,1.759677,34.295056,2.037823,-7.730188,9.366333,3.622445
0.020000,23.217715,1.742240,34.332790,1.886696,-7.556325,8.693162,3.621497
0.020000,23.186862,1.726195,34.367565,1.738785,-7.395553,8.038571,3.620828
0.020000,23.158572,1.711503,34.399442,1.593842,-7.247170,7.419152,3.620392
0.020000,23.132803,1.698131,34.428475,1.451624,-7.110894,6.813825,3.620145
0.020000,23.109512,1.686050,34.454713,1.311896,-6.986378,6.225783,3.620046
0.020000,23.088661,1.675236,34.478201,1.174428,-6.873421,5.647840,3.620061
0.020000,23.070215,1.665667,34.498981,1.038991,-6.771865,5.077808,3.620156
0.020000,23.054143,1.657328,34.517088,0.905358,-6.681626,4.511969,3.620302
0.020000,23.040416,1.650203,34.532554,0.773305,-6.602644,3.949101,3.620475
0.020000,23.029010,1.644279,34.545406,0.642607,-6.534893,3.387553,3.620652
0.020000,23.019904,1.639549,34.555667,0.513040,-6.478384,2.825460,3.620816
0.020000,23.013083,1.636004,34.563355,0.384378,-6.433095,2.264429,3.620952
0.020000,23.008533,1.633639,34.568483,0.256396,-6.399108,1.699360,3.621048
0.020000,23.006246,1.632450,34.571060,0.128869,-6.376341,1.138334,3.621099
0.020000,23.005661,1.632145,34.571720,0.032990,-4.793948,79.119672,3.621112
0.020000,23.005654,1.632142,34.571728,0.000393,-1.629870,158.203864,3.621112
0.020000,23.005654,1.632142,34.571728,0.000000,-0.019626,80.512236,3.621112
