dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.300000,0.000652,0.065207,3.260361,163.018054,0.000032
0.020000,0.500000,2.300000,0.003260,0.195622,6.520722,163.018054,0.000021
0.020000,0.500079,2.300000,0.008477,0.326036,6.520722,0.000000,6.283185
0.020000,0.507904,2.300000,0.016302,0.456451,6.520722,-0.000000,6.283153
0.020000,0.518337,2.299999,0.026735,0.586865,6.520722,0.000000,6.283112
0.020000,0.531378,2.299998,0.039776,0.717279,6.520722,-0.000000,6.283062
0.020000,0.547028,2.299996,0.055426,0.847694,6.520722,0.000000,6.283004
0.020000,0.565286,2.299992,0.073684,0.978108,6.520722,-0.000000,6.282939
0.020000,0.586152,2.299986,0.094550,1.108523,6.520722,0.000000,6.282868
0.020000,0.609627,2.299978,0.118025,1.238937,6.520722,0.000000,6.282792
0.020000,0.635710,2.299966,0.144108,1.369352,6.520722,-0.000000,6.282714
0.020000,0.664401,2.299952,0.172799,1.499766,6.520722,0.000000,6.282635
0.020000,0.695700,2.299933,0.204099,1.630181,6.520722,0.000000,6.282557
0.020000,0.729608,2.299910,0.238006,1.760595,6.520722,-0.000000,6.282482
0.020000,0.766124,2.299884,0.274522,1.891009,6.520722,0.000000,6.282413
0.020000,0.805248,2.299852,0.313647,2.021424,6.520722,0.000000,6.282351
0.020000,0.846981,2.299816,0.355379,2.151838,6.520722,0.000000,6.282300
0.020000,0.891322,2.299776,0.399720,2.282253,6.520722,0.000000,6.282263
0.020000,0.938271,2.299732,0.446669,2.412667,6.520722,-0.000000,6.282242
0.020000,0.987829,2.299685,0.496227,2.543082,6.520722,0.000000,6.282241
0.020000,1.039994,2.299636,0.548393,2.673496,6.520722,0.000000,6.282263
0.020000,1.094768,2.299587,0.603167,2.803911,6.520722,0.000000,6.282311
0.020000,1.152151,2.299539,0.660549,2.934325,6.520722,0.000000,6.282390
0.020000,1.212141,2.299495,0.720540,3.064739,6.520722,0.000000,6.282503
0.020000,1.274740,2.299456,0.783139,3.195154,6.520722,0.000000,6.282654
0.020000,1.339947,2.299428,0.848346,3.325568,6.520722,-0.000000,6.282848
0.020000,1.407763,2.299413,0.916161,3.455983,6.520722,0.000000,6.283089
0.020000,1.478187,2.299416,0.986585,3.586397,6.520722,-0.000000,0.000197
0.020000,1.551219,2.299443,1.059617,3.716812,6.520722,0.000000,0.000546
0.020000,1.626859,2.299500,1.135258,3.847226,6.520722,0.000000,0.000957
0.020000,1.705108,2.299593,1.213506,3.977641,6.520722,0.000000,0.001435
0.020000,1.785965,2.299731,1.294363,4.108055,6.520722,-0.000000,0.001984
0.020000,1.869430,2.299922,1.377829,4.238469,6.520722,0.000000,0.002612
0.020000,1.955503,2.300177,1.463902,4.368884,6.520722,0.000000,0.003323
0.020000,2.044184,2.300507,1.552584,4.499298,6.520722,0.000000,0.004123
0.020000,2.135473,2.300923,1.643874,4.629713,6.520722,-0.000000,0.005018
0.020000,2.229370,2.301441,1.737772,4.760127,6.520722,0.000000,0.006015
0.020000,2.325875,2.302074,1.834279,4.890542,6.520722,0.000000,0.007121
0.020000,2.424987,2.302839,1.933394,5.020956,6.520722,0.000000,0.008341
0.020000,2.526706,2.303755,2.035117,5.151370,6.520722,0.000000,0.009684
0.020000,2.631032,2.304842,2.139449,5.281785,6.520722,0.000000,0.011155
0.020000,2.737964,2.306120,2.246389,5.412199,6.520722,0.000000,0.012762
0.020000,2.847502,2.307612,2.355937,5.542614,6.520722,0.000000,0.014513
0.020000,2.959645,2.309346,2.468093,5.673028,6.520722,0.000000,0.016415
0.020000,3.074392,2.311347,2.582858,5.803443,6.520722,0.000000,0.018476
0.020000,3.191743,2.313645,2.700231,5.933857,6.520722,0.000000,0.020705
0.020000,3.311695,2.316272,2.820212,6.064272,6.520722,0.000000,0.023109
0.020000,3.434248,2.319262,2.942802,6.194686,6.520722,0.000000,0.025697
0.020000,3.559400,2.322651,3.068000,6.325100,6.520722,0.000000,0.028478
0.020000,3.687149,2.326479,3.195806,6.455515,6.520722,-0.000000,0.031460
0.020000,3.817492,2.330788,3.326220,6.585929,6.520722,0.000000,0.034653
