dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500040,1.050000,0.000652,0.065207,3.260361,163.018054,0.000032
0.020000,0.500026,1.050000,0.000666,0.000671,-3.226787,-324.357410,0.000021
0.020000,0.500078,1.050000,0.000718,0.002602,0.096505,166.164587,6.283185
0.020000,0.507864,1.050000,0.008503,0.389273,19.333590,961.854260,6.283153
0.020000,0.518245,1.049999,0.018885,0.519083,6.490485,-642.155254,6.283112
0.020000,0.531224,1.049998,0.031863,0.648937,6.492713,0.111398,6.283062
0.020000,0.546801,1.049996,0.047440,0.778847,6.495493,0.138990,6.283004
0.020000,0.564978,1.049992,0.065617,0.908824,6.498833,0.167007,6.282939
0.020000,0.585755,1.049986,0.086394,1.038878,6.502721,0.194395,6.282868
0.020000,0.609136,1.049978,0.109775,1.169022,6.507175,0.222736,6.282792
0.020000,0.635121,1.049966,0.135760,1.299265,6.512171,0.249769,6.282714
0.020000,0.663713,1.049952,0.164353,1.429620,6.517736,0.278254,6.282635
0.020000,0.694915,1.049933,0.195554,1.560097,6.523855,0.305940,6.282557
0.020000,0.728729,1.049911,0.229369,1.690707,6.530521,0.333340,6.282482
0.020000,0.765159,1.049884,0.265798,1.821462,6.537749,0.361369,6.282413
0.020000,0.804206,1.049852,0.304845,1.952373,6.545530,0.389049,6.282351
0.020000,0.845875,1.049817,0.346514,2.083450,6.553867,0.416870,6.282300
0.020000,0.890169,1.049777,0.390808,2.214705,6.562759,0.444608,6.282263
0.020000,0.937092,1.049733,0.437731,2.346150,6.572208,0.472463,6.282242
0.020000,0.986648,1.049686,0.487287,2.477794,6.582212,0.500191,6.282241
0.020000,1.038841,1.049637,0.539480,2.609649,6.592775,0.528139,6.282263
0.020000,1.093675,1.049588,0.594315,2.741727,6.603893,0.555895,6.282311
0.020000,1.151156,1.049539,0.651796,2.874039,6.615572,0.583971,6.282390
0.020000,1.211288,1.049495,0.711928,3.006595,6.627806,0.611685,6.282503
0.020000,1.274076,1.049457,0.774716,3.139407,6.640606,0.640005,6.282654
0.020000,1.339526,1.049428,0.840165,3.272486,6.653959,0.667654,6.282848
0.020000,1.407643,1.049413,0.908282,3.405844,6.667892,0.696648,6.283089
0.020000,1.478433,1.049416,0.979072,3.539492,6.682379,0.724324,0.000197
0.020000,1.551901,1.049443,1.052541,3.673440,6.697421,0.752101,0.000546
0.020000,1.628055,1.049500,1.128695,3.807701,6.713060,0.781938,0.000957
0.020000,1.706901,1.049594,1.207541,3.942286,6.729259,0.809953,0.001435
0.020000,1.788445,1.049733,1.289085,4.077207,6.746015,0.837811,0.001984
0.020000,1.872694,1.049926,1.373334,4.212474,6.763384,0.868438,0.002612
0.020000,1.959656,1.050184,1.460296,4.348101,6.781327,0.897151,0.003323
0.020000,2.049337,1.050517,1.549978,4.484097,6.799818,0.924558,0.004123
0.020000,2.141746,1.050939,1.642388,4.620476,6.818957,0.956948,0.005018
0.020000,2.236889,1.051463,1.737533,4.757249,6.838633,0.983796,0.006015
0.020000,2.334776,1.052106,1.835421,4.894428,6.858974,1.017092,0.007121
0.020000,2.435413,1.052883,1.936062,5.032025,6.879833,1.042942,0.008341
0.020000,2.538810,1.053814,2.039463,5.170053,6.901373,1.076979,0.009684
0.020000,2.644975,1.054919,2.145633,5.308522,6.923472,1.104963,0.011155
0.020000,2.753916,1.056221,2.254582,5.447447,6.946232,1.137993,0.012762
0.020000,2.865642,1.057744,2.366319,5.586838,6.969558,1.166304,0.014513
0.020000,2.980163,1.059514,2.480853,5.726708,6.993515,1.197851,0.016415
0.020000,3.097487,1.061560,2.598195,5.867072,7.018173,1.232899,0.018476
0.020000,3.217622,1.063913,2.718353,6.007938,7.043320,1.257330,0.020705
0.020000,3.340579,1.066606,2.841340,6.149321,7.069152,1.291632,0.023109
0.020000,3.466366,1.069674,2.967164,6.291234,7.095672,1.325985,0.025697
0.020000,3.594993,1.073158,3.095838,6.433688,7.122667,1.349765,0.028478
0.020000,3.726468,1.077098,3.227372,6.576695,7.150351,1.384193,0.031460
0.020000,3.860800,1.081538,3.361777,6.720268,7.178640,1.414435,0.034653
0.020000,3.997998,1.086527,3.499066,6.864417,7.207459,1.440977,0.038066
0.020000,4.138069,1.092115,3.639249,7.009155,7.236893,1.471663,0.041707
0.020000,4.281023,1.098357,3.782339,7.154491,7.266798,1.495243,0.045588
0.020000,4.426866,1.105310,3.928347,7.300437,7.297305,1.525351,0.049717
0.020000,4.575605,1.113036,4.077287,7.447000,7.328178,1.543687,0.054104
0.020000,4.727248,1.121600,4.229171,7.594192,7.359563,1.569224,0.058760
0.020000,4.881798,1.131072,4.384012,7.742016,7.391248,1.584248,0.063694
0.020000,5.039261,1.141526,4.541821,7.890483,7.423310,1.603116,0.068918
0.020000,5.199640,1.153038,4.702613,8.039594,7.455557,1.612326,0.074440
0.020000,5.362938,1.165693,4.866400,8.189353,7.487953,1.619831,0.080272
0.020000,5.529154,1.179576,5.033195,8.339761,7.520410,1.622818,0.086424
0.020000,5.698289,1.194779,5.203012,8.490817,7.552775,1.618292,0.092906
0.020000,5.870338,1.211399,5.375862,8.642515,7.584937,1.608085,0.099729
0.020000,6.045297,1.229536,5.551759,8.794850,7.616725,1.589390,0.106903
0.020000,6.223159,1.249297,5.730715,8.947809,7.647959,1.561691,0.114437
0.020000,6.403913,1.270793,5.912743,9.101380,7.678529,1.528492,0.122342
0.020000,6.587546,1.294141,6.097854,9.255539,7.707984,1.472787,0.130626
0.020000,6.774040,1.319460,6.286059,9.410268,7.736425,1.422043,0.139300
0.020000,6.963376,1.346879,6.477370,9.565531,7.763186,1.338028,0.148372
0.020000,7.155528,1.376527,6.671796,9.721301,7.788455,1.263489,0.157849
0.020000,7.350467,1.408541,6.869346,9.877528,7.811394,1.146931,0.167739
0.020000,7.548159,1.443061,7.070030,10.034169,7.832045,1.032561,0.178049
0.020000,7.748564,1.480232,7.273853,10.191166,7.849826,0.889011,0.188785
0.020000,7.951637,1.520203,7.480822,10.348456,7.864505,0.733981,0.199950
0.020000,8.157326,1.563126,7.690941,10.505966,7.875483,0.548899,0.211549
0.020000,8.365571,1.609158,7.904214,10.663622,7.882798,0.365740,0.223584
0.020000,8.576308,1.658455,8.120640,10.821319,7.884876,0.103881,0.236056
0.020000,8.789464,1.711181,8.340220,10.978982,7.883122,-0.087685,0.248963
0.020000,9.004957,1.767496,8.562950,11.136495,7.875649,-0.373622,0.262305
0.020000,9.214442,1.825224,8.780243,10.864671,-13.591175,-1073.341210,0.275445
0.020000,9.433283,1.888650,9.008090,11.392368,26.384836,1998.800515,0.288707
0.020000,9.653586,1.955662,9.238360,11.513473,6.055249,-1016.479322,0.301820
0.020000,9.875275,2.026264,9.471020,11.633000,5.976382,-3.943359,0.314759
0.020000,10.098278,2.100451,9.706039,11.750950,5.897500,-3.944070,0.327499
0.020000,10.322525,2.178211,9.943386,11.867342,5.819589,-3.895558,0.340014
0.020000,10.547952,2.259524,10.183029,11.982179,5.741863,-3.886329,0.352279
0.020000,10.774499,2.344359,10.424939,12.095492,5.665652,-3.810518,0.364272
0.020000,11.002109,2.432681,10.669085,12.207307,5.590720,-3.746641,0.375966
0.020000,11.230734,2.524445,10.915438,12.317653,5.517306,-3.670658,0.387339
0.020000,11.460329,2.619598,11.163970,12.426565,5.445591,-3.585780,0.398369
0.020000,11.690855,2.718081,11.414651,12.534078,5.375636,-3.497754,0.409031
0.020000,11.922281,2.819826,11.667456,12.640230,5.307643,-3.399620,0.419306
