dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499835,3.550000,0.000651,0.065087,3.254363,162.718168,0.000132
0.020000,0.499887,3.550000,0.000702,0.002570,-3.125847,-319.010533,0.000091
0.020000,0.499989,3.550000,0.000805,0.005113,0.127145,162.649609,0.000009
0.020000,0.507393,3.550000,0.008209,0.370216,18.255129,906.399224,6.283072
0.020000,0.518008,3.549998,0.018823,0.530706,8.024494,-511.531756,6.282912
0.020000,0.531271,3.549993,0.032086,0.663174,6.623391,-70.055181,6.282715
0.020000,0.547181,3.549983,0.047997,0.795509,6.616763,-0.331364,6.282484
0.020000,0.565735,3.549968,0.066550,0.927676,6.608368,-0.419790,6.282221
0.020000,0.586928,3.549944,0.087743,1.059652,6.598793,-0.478735,6.281929
0.020000,0.610756,3.549911,0.111571,1.191412,6.587982,-0.540562,6.281611
0.020000,0.637214,3.549864,0.138030,1.322922,6.575511,-0.623548,6.281272
0.020000,0.666297,3.549804,0.167113,1.454160,6.561903,-0.680382,6.280917
0.020000,0.697999,3.549726,0.198815,1.585098,6.546893,-0.750479,6.280549
0.020000,0.732313,3.549629,0.233129,1.715710,6.530618,-0.813781,6.280174
0.020000,0.769233,3.549510,0.270049,1.845968,6.512875,-0.887151,6.279797
0.020000,0.808749,3.549369,0.309565,1.975845,6.493867,-0.950392,6.279426
0.020000,0.850855,3.549203,0.351672,2.105315,6.473495,-1.018618,6.279065
0.020000,0.895542,3.549011,0.396359,2.234351,6.451812,-1.084137,6.278723
0.020000,0.942800,3.548793,0.443617,2.362926,6.428751,-1.153035,6.278406
0.020000,0.992619,3.548547,0.493438,2.491015,6.404432,-1.215939,6.278123
0.020000,1.044991,3.548276,0.545809,2.618588,6.378658,-1.288695,6.277882
0.020000,1.099902,3.547979,0.600722,2.745621,6.351648,-1.350522,6.277690
0.020000,1.157343,3.547659,0.658163,2.872085,6.323220,-1.421394,6.277559
0.020000,1.217301,3.547319,0.718123,2.997954,6.293415,-1.490241,6.277495
0.020000,1.279764,3.546964,0.780587,3.123199,6.262270,-1.557241,6.277511
0.020000,1.344719,3.546598,0.845542,3.247793,6.229689,-1.629054,6.277616
