dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.300000,0.000651,0.065087,3.254363,162.718168,0.000132
0.020000,0.500000,2.300000,0.003254,0.195262,6.508727,162.718168,0.000091
0.020000,0.500000,2.300000,0.008461,0.325436,6.508727,0.000000,0.000009
0.020000,0.507252,2.300000,0.016272,0.455611,6.508727,-0.000000,6.283072
0.020000,0.517666,2.299998,0.026686,0.585785,6.508727,-0.000000,6.282912
0.020000,0.530684,2.299993,0.039703,0.715960,6.508727,0.000000,6.282715
0.020000,0.546305,2.299984,0.055324,0.846134,6.508727,-0.000000,6.282484
0.020000,0.564529,2.299968,0.073549,0.976309,6.508727,0.000000,6.282221
0.020000,0.585357,2.299945,0.094377,1.106484,6.508727,-0.000000,6.281929
0.020000,0.608788,2.299912,0.117808,1.236658,6.508727,0.000000,6.281611
0.020000,0.634823,2.299867,0.143843,1.366833,6.508727,0.000000,6.281272
0.020000,0.663462,2.299807,0.172481,1.497007,6.508727,0.000000,6.280917
0.020000,0.694703,2.299730,0.203723,1.627182,6.508727,0.000000,6.280549
0.020000,0.728549,2.299634,0.237569,1.757356,6.508727,0.000000,6.280174
0.020000,0.764997,2.299518,0.274017,1.887531,6.508727,-0.000000,6.279797
0.020000,0.804049,2.299378,0.313070,2.017705,6.508727,0.000000,6.279426
0.020000,0.845705,2.299214,0.354726,2.147880,6.508727,0.000000,6.279065
0.020000,0.889964,2.299024,0.398985,2.278054,6.508727,0.000000,6.278723
0.020000,0.936826,2.298807,0.445848,2.408229,6.508727,-0.000000,6.278406
0.020000,0.986292,2.298563,0.495314,2.538403,6.508727,0.000000,6.278123
0.020000,1.038361,2.298293,0.547384,2.668578,6.508727,-0.000000,6.277882
0.020000,1.093034,2.297998,0.602057,2.798752,6.508727,0.000000,6.277690
0.020000,1.150309,2.297679,0.659334,2.928927,6.508727,0.000000,6.277559
0.020000,1.210189,2.297340,0.719214,3.059102,6.508727,-0.000000,6.277495
0.020000,1.272672,2.296984,0.781698,3.189276,6.508727,0.000000,6.277511
0.020000,1.337758,2.296618,0.846785,3.319451,6.508727,0.000000,6.277616
0.020000,1.405448,2.296247,0.914476,3.449625,6.508727,0.000000,6.277822
0.020000,1.475741,2.295881,0.984770,3.579800,6.508727,-0.000000,6.278139
0.020000,1.548638,2.295528,1.057668,3.709974,6.508727,0.000000,6.278579
0.020000,1.624138,2.295201,1.133169,3.840149,6.508727,-0.000000,6.279154
0.020000,1.702242,2.294914,1.211274,3.970323,6.508727,0.000000,6.279879
0.020000,1.782950,2.294682,1.291982,4.100498,6.508727,0.000000,6.280765
0.020000,1.866262,2.294523,1.375294,4.230672,6.508727,0.000000,6.281826
0.020000,1.952177,2.294459,1.461209,4.360847,6.508727,-0.000000,6.283077
0.020000,2.040696,2.294513,1.549728,4.491021,6.508727,0.000000,0.001348
0.020000,2.131818,2.294711,1.640850,4.621196,6.508727,0.000000,0.003025
0.020000,2.225543,2.295083,1.734576,4.751370,6.508727,-0.000000,0.004938
0.020000,2.321870,2.295661,1.830905,4.881545,6.508727,0.000000,0.007105
0.020000,2.420799,2.296483,1.929837,5.011720,6.508727,0.000000,0.009543
0.020000,2.522329,2.297588,2.031374,5.141894,6.508727,0.000000,0.012269
0.020000,2.626459,2.299022,2.135513,5.272069,6.508727,-0.000000,0.015304
0.020000,2.733187,2.300832,2.242256,5.402243,6.508727,0.000000,0.018666
0.020000,2.842510,2.303074,2.351603,5.532418,6.508727,0.000000,0.022375
0.020000,2.954427,2.305804,2.463553,5.662592,6.508727,-0.000000,0.026454
0.020000,3.068933,2.309087,2.578107,5.792767,6.508727,0.000000,0.030924
0.020000,3.186025,2.312992,2.695264,5.922941,6.508727,-0.000000,0.035808
0.020000,3.305697,2.317595,2.815024,6.053116,6.508727,0.000000,0.041130
0.020000,3.427943,2.322976,2.937388,6.183290,6.508727,0.000000,0.046915
0.020000,3.552754,2.329225,3.062356,6.313465,6.508727,-0.000000,0.053187
0.020000,3.680121,2.336435,3.189927,6.443639,6.508727,0.000000,0.059975
0.020000,3.810032,2.344709,3.320101,6.573814,6.508727,0.000000,0.067304
0.020000,3.942473,2.354157,3.452880,6.703989,6.508727,-0.000000,0.075203
