dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500165,1.050000,0.000651,0.065087,3.254363,162.718168,0.000132
0.020000,0.500113,1.050000,0.000702,0.002570,-3.125847,-319.010533,0.000091
0.020000,0.500011,1.050000,0.000805,0.005113,0.127145,162.649609,0.000009
0.020000,0.507111,1.050000,0.007905,0.355013,17.495013,868.393413,6.283072
0.020000,0.517325,1.049998,0.018119,0.510692,7.783944,-485.553476,6.282912
0.020000,0.530096,1.049993,0.030890,0.638569,6.393835,-69.505447,6.282715
0.020000,0.545428,1.049984,0.046222,0.766587,6.400922,0.354389,6.282484
0.020000,0.563324,1.049969,0.064117,0.894767,6.408988,0.403288,6.282221
0.020000,0.583786,1.049946,0.084580,1.023139,6.418593,0.480250,6.281929
0.020000,0.606821,1.049914,0.107615,1.151733,6.429675,0.554112,6.281611
0.020000,0.632432,1.049869,0.133226,1.280569,6.441818,0.607143,6.281272
0.020000,0.660626,1.049810,0.161420,1.409679,6.455519,0.685056,6.280917
0.020000,0.691407,1.049734,0.192201,1.539090,6.470515,0.749776,6.280549
0.020000,0.724784,1.049640,0.225578,1.668828,6.486930,0.820734,6.280174
0.020000,0.760762,1.049525,0.261556,1.798920,6.504561,0.881589,6.279797
0.020000,0.799350,1.049387,0.300144,1.929392,6.523602,0.952027,6.279426
0.020000,0.840555,1.049224,0.341350,2.060271,6.543951,1.017440,6.279065
0.020000,0.884386,1.049036,0.385181,2.191584,6.565659,1.085422,6.278723
0.020000,0.930853,1.048821,0.431648,2.323357,6.588662,1.150147,6.278406
0.020000,0.979964,1.048579,0.480761,2.455619,6.613082,1.220976,6.278123
0.020000,1.031732,1.048311,0.532529,2.588393,6.638732,1.282505,6.277882
0.020000,1.086165,1.048017,0.586963,2.721710,6.665840,1.355417,6.277690
0.020000,1.143276,1.047699,0.644075,2.855595,6.694245,1.420267,6.277559
0.020000,1.203077,1.047360,0.703876,2.990075,6.724010,1.488237,6.277495
0.020000,1.265579,1.047004,0.766380,3.125179,6.755200,1.559511,6.277511
0.020000,1.330797,1.046637,0.831598,3.260934,6.787756,1.627789,6.277616
0.020000,1.398743,1.046265,0.899546,3.397369,6.821758,1.700072,6.277822
0.020000,1.469432,1.045897,0.970236,3.534513,6.857171,1.770661,6.278139
0.020000,1.542880,1.045542,1.043684,3.672395,6.894132,1.848052,6.278579
0.020000,1.619100,1.045212,1.119905,3.811047,6.932561,1.921462,6.279154
0.020000,1.698109,1.044921,1.198915,3.950496,6.972483,1.996105,6.279879
0.020000,1.779924,1.044686,1.280730,4.090779,7.014131,2.082386,6.280765
0.020000,1.864563,1.044525,1.365369,4.231927,7.057414,2.164132,6.281826
0.020000,1.952042,1.044459,1.452848,4.373972,7.102233,2.240979,6.283077
0.020000,2.042381,1.044514,1.543188,4.516954,7.149106,2.343655,0.001348
0.020000,2.135599,1.044717,1.636406,4.660905,7.197531,2.421218,0.003025
0.020000,2.231716,1.045098,1.732523,4.805866,7.248077,2.527337,0.004938
0.020000,2.330751,1.045693,1.831560,4.951877,7.300515,2.621889,0.007105
0.020000,2.432728,1.046540,1.933540,5.098979,7.355106,2.729559,0.009543
0.020000,2.537666,1.047682,2.038484,5.247215,7.411796,2.834483,0.012269
0.020000,2.645588,1.049168,2.146417,5.396630,7.470787,2.949547,0.015304
0.020000,2.756517,1.051050,2.257362,5.547272,7.532062,3.063765,0.018666
0.020000,2.870477,1.053386,2.371346,5.699186,7.595742,3.183995,0.022375
0.020000,2.987491,1.056241,2.488395,5.852430,7.662200,3.322910,0.026454
0.020000,3.107583,1.059685,2.608536,6.007048,7.730867,3.433353,0.030924
0.020000,3.230776,1.063794,2.731798,6.163104,7.802796,3.596440,0.035808
0.020000,3.357096,1.068652,2.858211,6.320644,7.877028,3.711580,0.041130
0.020000,3.486565,1.074352,2.987805,6.479723,7.953914,3.844292,0.046915
0.020000,3.619207,1.080992,3.120613,6.640405,8.034132,4.010933,0.053187
0.020000,3.755044,1.088682,3.256668,6.802743,8.116886,4.137681,0.059975
0.020000,3.894098,1.097539,3.396004,6.966784,8.202073,4.259365,0.067304
0.020000,4.036388,1.107690,3.538656,7.132593,8.290446,4.418634,0.075203
0.020000,4.181932,1.119273,3.684660,7.300215,8.381106,4.532984,0.083702
0.020000,4.330745,1.132437,3.834054,7.469682,8.473339,4.611649,0.092829
0.020000,4.482837,1.147341,3.986874,7.641046,8.568212,4.743674,0.102615
0.020000,4.638216,1.164159,4.143161,7.814319,8.663635,4.771139,0.113092
0.020000,4.796883,1.183073,4.302951,7.989529,8.760489,4.842734,0.124288
0.020000,4.958834,1.204282,4.466285,8.166656,8.856333,4.792201,0.136236
0.020000,5.124054,1.227997,4.633198,8.345692,8.951801,4.773390,0.148966
0.020000,5.292523,1.254440,4.803730,8.526580,9.044432,4.631511,0.162508
0.020000,5.464207,1.283850,4.977915,8.709252,9.133602,4.458506,0.176890
0.020000,5.639062,1.316475,5.155787,8.893592,9.217004,4.170116,0.192138
0.020000,5.817025,1.352580,5.337376,9.079453,9.293055,3.802529,0.208278
0.020000,5.998021,1.392438,5.522709,9.266643,9.359478,3.321154,0.225330
0.020000,6.181954,1.436335,5.711807,9.454910,9.413375,2.694851,0.243312
0.020000,6.368706,1.484563,5.904686,9.643959,9.452436,1.953053,0.262236
0.020000,6.558138,1.537423,6.101355,9.833424,9.473257,1.041058,0.282109
0.020000,6.750083,1.595220,6.301812,10.022890,9.473297,0.002016,0.302931
0.020000,6.944349,1.658257,6.506050,10.211863,9.448662,-1.231770,0.324694
0.020000,7.140714,1.726835,6.714046,10.399806,9.397113,-2.577448,0.347382
0.020000,7.338929,1.801248,6.925768,10.586123,9.315884,-4.061454,0.370969
0.020000,7.538713,1.881777,7.141172,10.770161,9.201895,-5.699416,0.395417
0.020000,7.739758,1.968684,7.360196,10.951245,9.054210,-7.384275,0.420681
0.020000,7.941728,2.062209,7.582770,11.128694,8.872406,-9.090200,0.446701
0.020000,8.144265,2.162565,7.808807,11.301818,8.656221,-10.809263,0.473409
0.020000,8.346990,2.269930,8.038207,11.470015,8.409867,-12.317697,0.500726
0.020000,8.549507,2.384445,8.270859,11.632590,8.128713,-14.057706,0.528561
0.020000,8.751413,2.506213,8.506642,11.789163,7.828666,-15.002352,0.556819
0.020000,8.952303,2.635293,8.745427,11.939260,7.504849,-16.190819,0.585396
0.020000,9.151773,2.771701,8.987078,12.082557,7.164859,-16.999485,0.614183
0.020000,9.349434,2.915409,9.231459,12.219015,6.822901,-17.097936,0.643071
0.020000,9.544912,3.066351,9.478431,12.348601,6.479271,-17.181490,0.671949
0.020000,9.737858,3.224422,9.727860,12.471464,6.143186,-16.804251,0.700710
