dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.501322,3.499999,0.000648,0.064803,3.240145,162.007272,6.282128
0.020000,0.501098,3.500000,0.000871,0.011173,-2.681503,-296.082441,6.282307
0.020000,0.500652,3.500000,0.001318,0.022330,0.557837,161.967001,6.282664
0.020000,0.500183,3.500000,0.001787,0.023426,0.054797,-25.151972,0.000014
0.020000,0.509661,3.500004,0.011264,0.473893,22.523382,1123.429251,0.000726
0.020000,0.521511,3.500017,0.023114,0.592487,5.929690,-829.684619,0.001615
0.020000,0.535734,3.500048,0.037337,0.711162,5.933740,0.202511,0.002679
0.020000,0.552333,3.500103,0.053936,0.829934,5.938595,0.242731,0.003915
0.020000,0.571309,3.500190,0.072912,0.948819,5.944273,0.283932,0.005324
0.020000,0.592665,3.500321,0.094269,1.067834,5.950755,0.324094,0.006902
0.020000,0.616404,3.500505,0.118009,1.186997,5.958122,0.368328,0.008647
0.020000,0.642530,3.500756,0.144136,1.306321,5.966227,0.405246,0.010556
0.020000,0.671044,3.501087,0.172652,1.425827,5.975280,0.452661,0.012627
0.020000,0.701952,3.501512,0.203563,1.545530,5.985137,0.492853,0.014857
0.020000,0.735257,3.502046,0.236872,1.665447,5.995852,0.535751,0.017241
0.020000,0.770962,3.502707,0.272583,1.785593,6.007302,0.572524,0.019777
0.020000,0.809074,3.503512,0.310703,1.905991,6.019940,0.631867,0.022460
0.020000,0.849595,3.504480,0.351236,2.026652,6.033022,0.654096,0.025287
0.020000,0.892532,3.505630,0.394188,2.147597,6.047276,0.712706,0.028252
0.020000,0.937888,3.506982,0.439565,2.268844,6.062345,0.753450,0.031350
0.020000,0.985671,3.508558,0.487373,2.390409,6.078239,0.794721,0.034578
0.020000,1.035884,3.510379,0.537619,2.512305,6.094808,0.828443,0.037928
0.020000,1.088533,3.512469,0.590311,2.634563,6.112892,0.904213,0.041397
0.020000,1.143626,3.514850,0.645454,2.757180,6.130860,0.898373,0.044977
0.020000,1.201166,3.517546,0.703058,2.880192,6.150587,0.986337,0.048662
0.020000,1.261162,3.520582,0.763130,3.003607,6.170770,1.009176,0.052447
0.020000,1.323618,3.523982,0.825679,3.127445,6.191888,1.055920,0.056324
0.020000,1.388542,3.527772,0.890713,3.251716,6.213528,1.081956,0.060286
0.020000,1.455940,3.531977,0.958242,3.376446,6.236512,1.149223,0.064326
0.020000,1.525818,3.536623,1.028275,3.501643,6.259874,1.168117,0.068437
0.020000,1.598185,3.541736,1.100822,3.627332,6.284406,1.226591,0.072610
0.020000,1.673045,3.547341,1.175892,3.753519,6.309359,1.247622,0.076838
0.020000,1.750408,3.553464,1.253497,3.880223,6.335226,1.293354,0.081113
0.020000,1.830280,3.560131,1.333646,4.007464,6.362022,1.339801,0.085425
0.020000,1.912667,3.567367,1.416351,4.135243,6.388963,1.347069,0.089767
0.020000,1.997579,3.575197,1.501623,4.263593,6.417485,1.426080,0.094129
0.020000,2.085022,3.583646,1.589473,4.392502,6.445445,1.398003,0.098501
0.020000,2.175004,3.592738,1.679913,4.522008,6.475334,1.494448,0.102876
0.020000,2.267533,3.602496,1.772955,4.652113,6.505243,1.495471,0.107242
0.020000,2.362617,3.612943,1.868612,4.782825,6.535576,1.516616,0.111591
0.020000,2.460265,3.624100,1.966895,4.914156,6.566595,1.550971,0.115912
0.020000,2.560485,3.635988,2.067817,5.046132,6.598788,1.609654,0.120196
0.020000,2.663286,3.648626,2.171392,5.178745,6.630652,1.593225,0.124431
0.020000,2.768677,3.662033,2.277633,5.312009,6.663200,1.627386,0.128607
0.020000,2.876667,3.676226,2.386551,5.445946,6.696820,1.681011,0.132715
0.020000,2.987266,3.691219,2.498162,5.580550,6.730233,1.670613,0.136742
0.020000,3.100485,3.707027,2.612479,5.715840,6.764459,1.711309,0.140678
0.020000,3.216333,3.723661,2.729516,5.851833,6.799691,1.761587,0.144512
0.020000,3.334823,3.741132,2.849286,5.988513,6.833976,1.714265,0.148233
0.020000,3.455964,3.759447,2.971804,6.125915,6.870110,1.806699,0.151830
0.020000,3.579770,3.778612,3.097085,6.264039,6.906195,1.804245,0.155290
0.020000,3.706254,3.798630,3.225143,6.402895,6.942787,1.829590,0.158602
0.020000,3.835428,3.819502,3.355993,6.542491,6.979798,1.850587,0.161754
0.020000,3.967308,3.841227,3.489650,6.682834,7.017191,1.869637,0.164734
0.020000,4.101907,3.863799,3.626129,6.823952,7.055862,1.933528,0.167530
0.020000,4.239243,3.887211,3.765446,6.965841,7.094479,1.930861,0.170130
0.020000,4.379331,3.911453,3.907616,7.108514,7.133619,1.957002,0.172521
0.020000,4.522190,3.936509,4.052656,7.251993,7.173957,2.016919,0.174689
0.020000,4.667839,3.962363,4.200581,7.396286,7.214650,2.034620,0.176623
0.020000,4.816298,3.988993,4.351410,7.541416,7.256530,2.094033,0.178308
0.020000,4.967588,4.016374,4.505158,7.687394,7.298888,2.117860,0.179731
0.020000,5.121732,4.044476,4.661842,7.834242,7.342409,2.176077,0.180879
0.020000,5.278754,4.073266,4.821482,7.981976,7.386686,2.213831,0.181736
0.020000,5.438680,4.102704,4.984094,8.130624,7.432382,2.284829,0.182289
0.020000,5.601536,4.132749,5.149699,8.280206,7.479092,2.335472,0.182522
0.020000,5.767351,4.163350,5.318314,8.430749,7.527163,2.403568,0.182420
0.020000,5.936154,4.194455,5.489959,8.582279,7.576519,2.467783,0.181967
0.020000,6.107979,4.226004,5.664656,8.734830,7.627549,2.551531,0.181147
0.020000,6.282857,4.257931,5.842424,8.888429,7.679947,2.619865,0.179944
0.020000,6.460824,4.290163,6.023287,9.043112,7.734128,2.709088,0.178339
0.020000,6.641916,4.322623,6.207265,9.198913,7.790074,2.797266,0.176315
0.020000,6.826171,4.355223,6.394382,9.355871,7.847873,2.889952,0.173853
0.020000,7.013630,4.387870,6.584663,9.514031,7.908032,3.007976,0.170934
0.020000,7.204334,4.420463,6.778131,9.673419,7.969375,3.067135,0.167539
0.020000,7.398324,4.452891,6.974813,9.834088,8.033462,3.204366,0.163647
0.020000,7.595644,4.485034,7.174735,9.996083,8.099727,3.313214,0.159236
0.020000,7.796341,4.516764,7.377923,10.159442,8.167957,3.411528,0.154286
0.020000,8.000457,4.547941,7.584407,10.324202,8.238038,3.504018,0.148773
0.020000,8.208040,4.578415,7.794216,10.490403,8.310043,3.600256,0.142674
0.020000,8.418269,4.607907,8.006503,10.614362,6.197922,-105.606015,0.135994
