dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.250000,0.000648,0.064803,3.240145,162.007272,6.282128
0.020000,0.500000,2.250000,0.003240,0.194409,6.480291,162.007272,6.282307
0.020000,0.500000,2.250000,0.008424,0.324015,6.480291,0.000000,6.282664
0.020000,0.500201,2.250000,0.016201,0.453620,6.480291,0.000000,0.000014
0.020000,0.510569,2.250004,0.026569,0.583226,6.480291,0.000000,0.000726
0.020000,0.523530,2.250019,0.039530,0.712832,6.480291,-0.000000,0.001615
0.020000,0.539082,2.250052,0.055082,0.842438,6.480291,0.000000,0.002679
0.020000,0.557227,2.250112,0.073227,0.972044,6.480291,0.000000,0.003915
0.020000,0.577964,2.250208,0.093964,1.101649,6.480291,-0.000000,0.005324
0.020000,0.601292,2.250351,0.117293,1.231255,6.480291,0.000000,0.006902
0.020000,0.627213,2.250552,0.143214,1.360861,6.480291,0.000000,0.008647
0.020000,0.655725,2.250826,0.171728,1.490467,6.480291,0.000000,0.010556
0.020000,0.686828,2.251187,0.202833,1.620073,6.480291,-0.000000,0.012627
0.020000,0.720522,2.251650,0.236531,1.749679,6.480291,0.000000,0.014857
0.020000,0.756807,2.252232,0.272820,1.879284,6.480291,0.000000,0.017241
0.020000,0.795682,2.252952,0.311702,2.008890,6.480291,-0.000000,0.019777
0.020000,0.837147,2.253828,0.353176,2.138496,6.480291,-0.000000,0.022460
0.020000,0.881200,2.254880,0.397242,2.268102,6.480291,0.000000,0.025287
0.020000,0.927842,2.256129,0.443900,2.397708,6.480291,-0.000000,0.028252
0.020000,0.977070,2.257596,0.493150,2.527313,6.480291,0.000000,0.031350
0.020000,1.028884,2.259305,0.544992,2.656919,6.480291,0.000000,0.034578
0.020000,1.083283,2.261278,0.599427,2.786525,6.480291,-0.000000,0.037928
0.020000,1.140264,2.263540,0.656453,2.916131,6.480291,0.000000,0.041397
0.020000,1.199827,2.266114,0.716072,3.045737,6.480291,-0.000000,0.044977
0.020000,1.261970,2.269026,0.778283,3.175343,6.480291,0.000000,0.048662
0.020000,1.326690,2.272301,0.843086,3.304948,6.480291,0.000000,0.052447
0.020000,1.393985,2.275964,0.910481,3.434554,6.480291,0.000000,0.056324
0.020000,1.463853,2.280043,0.980468,3.564160,6.480291,-0.000000,0.060286
0.020000,1.536292,2.284563,1.053047,3.693766,6.480291,0.000000,0.064326
0.020000,1.611297,2.289549,1.128219,3.823372,6.480291,0.000000,0.068437
0.020000,1.688868,2.295030,1.205982,3.952977,6.480291,0.000000,0.072610
0.020000,1.768999,2.301029,1.286338,4.082583,6.480291,0.000000,0.076838
0.020000,1.851688,2.307574,1.369285,4.212189,6.480291,0.000000,0.081113
0.020000,1.936931,2.314689,1.454825,4.341795,6.480291,-0.000000,0.085425
0.020000,2.024725,2.322400,1.542957,4.471401,6.480291,0.000000,0.089767
0.020000,2.115066,2.330731,1.633681,4.601007,6.480291,0.000000,0.094129
0.020000,2.207949,2.339706,1.726998,4.730612,6.480291,0.000000,0.098501
0.020000,2.303372,2.349347,1.822906,4.860218,6.480291,-0.000000,0.102876
0.020000,2.401329,2.359677,1.921406,4.989824,6.480291,0.000000,0.107242
0.020000,2.501817,2.370718,2.022499,5.119430,6.480291,0.000000,0.111591
0.020000,2.604831,2.382488,2.126183,5.249036,6.480291,-0.000000,0.115912
0.020000,2.710368,2.395006,2.232460,5.378641,6.480291,0.000000,0.120196
0.020000,2.818423,2.408291,2.341329,5.508247,6.480291,-0.000000,0.124431
0.020000,2.928993,2.422356,2.452790,5.637853,6.480291,0.000000,0.128607
0.020000,3.042074,2.437218,2.566843,5.767459,6.480291,-0.000000,0.132715
0.020000,3.157662,2.452888,2.683488,5.897065,6.480291,0.000000,0.136742
0.020000,3.275753,2.469376,2.802726,6.026671,6.480291,0.000000,0.140678
0.020000,3.396346,2.486691,2.924555,6.156276,6.480291,-0.000000,0.144512
0.020000,3.519437,2.504840,3.048977,6.285882,6.480291,0.000000,0.148233
0.020000,3.645023,2.523827,3.175991,6.415488,6.480291,-0.000000,0.151830
0.020000,3.773103,2.543653,3.305596,6.545094,6.480291,0.000000,0.155290
