dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.498678,1.000001,0.000648,0.064803,3.240145,162.007272,6.282128
0.020000,0.498902,1.000000,0.000871,0.011173,-2.681503,-296.082441,6.282307
0.020000,0.499348,1.000000,0.001318,0.022330,0.557837,161.967001,6.282664
0.020000,0.500218,1.000000,0.002188,0.043483,1.057653,24.990837,0.000014
0.020000,0.511477,1.000004,0.013447,0.562954,25.973554,1245.795018,0.000726
0.020000,0.525548,1.000021,0.027518,0.703571,7.030858,-947.134800,0.001615
0.020000,0.542430,1.000057,0.044400,0.844108,7.026836,-0.201109,0.002679
0.020000,0.562121,1.000122,0.064091,0.984547,7.021983,-0.242605,0.003915
0.020000,0.584618,1.000226,0.086589,1.124874,7.016315,-0.283415,0.005324
0.020000,0.609919,1.000380,0.111890,1.265069,7.009795,-0.325986,0.006902
0.020000,0.638021,1.000599,0.139993,1.405120,7.002509,-0.364306,0.008647
0.020000,0.668920,1.000896,0.170893,1.545005,6.994272,-0.411883,0.010556
0.020000,0.702612,1.001286,0.204587,1.684711,6.985319,-0.447645,0.012627
0.020000,0.739093,1.001788,0.241071,1.824221,6.975468,-0.492564,0.014857
0.020000,0.778358,1.002418,0.280342,1.963516,6.964770,-0.534865,0.017241
0.020000,0.820402,1.003196,0.322393,2.102578,6.953072,-0.584921,0.019777
0.020000,0.865220,1.004143,0.367221,2.241396,6.940894,-0.608895,0.022460
0.020000,0.912805,1.005279,0.414820,2.379943,6.927355,-0.676969,0.025287
0.020000,0.963151,1.006627,0.465184,2.518209,6.913303,-0.702561,0.028252
0.020000,1.016251,1.008211,0.518308,2.656175,6.898315,-0.749403,0.031350
0.020000,1.072098,1.010052,0.574184,2.793823,6.882401,-0.795696,0.034578
0.020000,1.130682,1.012177,0.632807,2.931131,6.865387,-0.850718,0.037928
0.020000,1.191995,1.014611,0.694169,3.068096,6.848257,-0.856506,0.041397
0.020000,1.256029,1.017378,0.758262,3.204678,6.829116,-0.957045,0.044977
0.020000,1.322773,1.020505,0.825080,3.340881,6.810160,-0.947773,0.048662
0.020000,1.392218,1.024019,0.894613,3.476679,6.789888,-1.013602,0.052447
0.020000,1.464352,1.027947,0.966855,3.612057,6.768875,-1.050686,0.056324
0.020000,1.539165,1.032314,1.041794,3.746990,6.746664,-1.110543,0.060286
0.020000,1.616644,1.037148,1.119424,3.881475,6.724233,-1.121529,0.064326
0.020000,1.696777,1.042476,1.199734,4.015485,6.700498,-1.186776,0.068437
0.020000,1.779550,1.048323,1.282714,4.149013,6.676401,-1.204815,0.072610
0.020000,1.864952,1.054717,1.368354,4.282035,6.651123,-1.263933,0.076838
0.020000,1.952968,1.061684,1.456645,4.414540,6.625269,-1.292697,0.081113
0.020000,2.043583,1.069247,1.547576,4.546518,6.598897,-1.318613,0.085425
0.020000,2.136783,1.077433,1.641134,4.677942,6.571163,-1.386667,0.089767
0.020000,2.232553,1.086264,1.737311,4.808816,6.543742,-1.371075,0.094129
0.020000,2.330877,1.095765,1.836093,4.939102,6.514261,-1.474029,0.098501
0.020000,2.431740,1.105956,1.937469,5.068813,6.485580,-1.434076,0.102876
0.020000,2.535125,1.116859,2.041428,5.197925,6.455595,-1.499230,0.107242
0.020000,2.641016,1.128493,2.147956,5.326421,6.424814,-1.539035,0.111591
0.020000,2.749397,1.140876,2.257042,5.454293,6.393581,-1.561669,0.115912
0.020000,2.860251,1.154025,2.368673,5.581543,6.362475,-1.555289,0.120196
0.020000,2.973560,1.167955,2.482836,5.708140,6.329874,-1.630060,0.124431
0.020000,3.089309,1.182680,2.599517,5.834079,6.296941,-1.646634,0.128607
0.020000,3.207480,1.198210,2.718704,5.959362,6.264132,-1.640456,0.132715
0.020000,3.328057,1.214556,2.840384,6.083963,6.230069,-1.703161,0.136742
0.020000,3.451022,1.231724,2.964541,6.207881,6.195894,-1.708736,0.140678
0.020000,3.576358,1.249721,3.091164,6.331117,6.161821,-1.703647,0.144512
0.020000,3.704051,1.268548,3.220236,6.453632,6.125744,-1.803850,0.148233
0.020000,3.834082,1.288207,3.351745,6.575446,6.090684,-1.753032,0.151830
0.020000,3.966436,1.308695,3.485676,6.696537,6.054571,-1.805617,0.155290
0.020000,4.101098,1.330007,3.622014,6.816897,6.017985,-1.829309,0.158602
0.020000,4.238052,1.352136,3.760744,6.936513,5.980798,-1.859381,0.161754
0.020000,4.377283,1.375072,3.901852,7.055371,5.942923,-1.893748,0.164734
0.020000,4.518777,1.398800,4.045321,7.173476,5.905246,-1.883852,0.167530
0.020000,4.662519,1.423304,4.191137,7.290802,5.866288,-1.947853,0.170130
0.020000,4.808496,1.448565,4.339284,7.407334,5.826581,-1.985365,0.172521
0.020000,4.956696,1.474558,4.489745,7.523068,5.786729,-1.992629,0.174689
0.020000,5.107104,1.501256,4.642505,7.637983,5.745739,-2.049487,0.176623
0.020000,5.259710,1.528630,4.797546,7.752070,5.704354,-2.069258,0.178308
0.020000,5.414501,1.556645,4.954852,7.865304,5.661702,-2.132593,0.179731
0.020000,5.571467,1.585261,5.114406,7.977671,5.618344,-2.167914,0.180879
0.020000,5.730598,1.614437,5.276189,8.089145,5.573700,-2.232172,0.181736
0.020000,5.891882,1.644126,5.440183,8.199711,5.528277,-2.271180,0.182289
0.020000,6.055311,1.674276,5.606370,8.309340,5.481477,-2.339961,0.182522
0.020000,6.220875,1.704831,5.774730,8.418009,5.433466,-2.400564,0.182420
0.020000,6.388566,1.735731,5.945244,8.525689,5.383969,-2.474863,0.181967
0.020000,6.558374,1.766910,6.117891,8.632352,5.333174,-2.539754,0.181147
0.020000,6.730292,1.798296,6.292650,8.737964,5.280572,-2.630061,0.179944
0.020000,6.904311,1.829814,6.469500,8.842491,5.226379,-2.709682,0.178339
0.020000,7.080422,1.861381,6.648418,8.945899,5.170376,-2.800121,0.176315
0.020000,7.258617,1.892909,6.829381,9.048148,5.112470,-2.895322,0.173853
0.020000,7.438888,1.924305,7.012365,9.149208,5.052980,-2.974494,0.170934
