dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,18.350000,0.000653,0.065308,3.265399,163.269935,0.000000
0.020000,4.500000,18.350000,0.000653,0.000000,-3.265399,-326.539869,0.000000
0.020000,4.503490,18.350000,0.004143,0.174502,8.725092,599.524510,0.000000
0.020000,4.511327,18.350000,0.011980,0.391848,10.867301,107.110457,0.000000
0.020000,4.521776,18.350000,0.022429,0.522464,6.530797,-216.825163,0.000000
0.020000,4.534838,18.350000,0.035491,0.653080,6.530797,0.000000,0.000000
0.020000,4.550512,18.350000,0.051165,0.783696,6.530797,-0.000000,0.000000
0.020000,4.568798,18.350000,0.069451,0.914312,6.530797,0.000000,0.000000
0.020000,4.589697,18.350000,0.090350,1.044928,6.530797,-0.000000,0.000000
0.020000,4.613207,18.350000,0.113861,1.175544,6.530797,0.000000,0.000000
0.020000,4.639331,18.350000,0.139984,1.306159,6.530797,-0.000000,0.000000
0.020000,4.668066,18.350000,0.168719,1.436775,6.530797,0.000000,0.000000
0.020000,4.699414,18.350000,0.200067,1.567391,6.530797,0.000000,0.000000
0.020000,4.733374,18.350000,0.234027,1.698007,6.530797,0.000000,0.000000
0.020000,4.769947,18.350000,0.270600,1.828623,6.530797,0.000000,0.000000
0.020000,4.809131,18.350000,0.309784,1.959239,6.530797,0.000000,0.000000
0.020000,4.850928,18.350000,0.351582,2.089855,6.530797,0.000000,0.000000
0.020000,4.895338,18.350000,0.395991,2.220471,6.530797,-0.000000,0.000000
0.020000,4.942360,18.350000,0.443013,2.351087,6.530797,0.000000,0.000000
0.020000,4.991994,18.350000,0.492647,2.481703,6.530797,-0.000000,0.000000
0.020000,5.044240,18.350000,0.544893,2.612319,6.530797,0.000000,0.000000
0.020000,5.099099,18.350000,0.599752,2.742935,6.530797,-0.000000,0.000000
0.020000,5.156570,18.350000,0.657223,2.873551,6.530797,0.000000,0.000000
0.020000,5.216653,18.350000,0.717306,3.004167,6.530797,-0.000000,0.000000
0.020000,5.279349,18.350000,0.780002,3.134783,6.530797,0.000000,0.000000
0.020000,5.344657,18.350000,0.845310,3.265399,6.530797,-0.000000,0.000000
0.020000,5.412577,18.350000,0.913230,3.396015,6.530797,0.000000,0.000000
0.020000,5.483110,18.350000,0.983763,3.526631,6.530797,0.000000,0.000000
0.020000,5.556255,18.350000,1.056908,3.657247,6.530797,0.000000,0.000000
0.020000,5.632012,18.350000,1.132665,3.787862,6.530797,0.000000,0.000000
0.020000,5.710381,18.350000,1.211034,3.918478,6.530797,-0.000000,0.000000
0.020000,5.791363,18.350000,1.292016,4.049094,6.530797,0.000000,0.000000
0.020000,5.874957,18.350000,1.375611,4.179710,6.530797,-0.000000,0.000000
0.020000,5.961164,18.350000,1.461817,4.310326,6.530797,-0.000000,0.000000
0.020000,6.049983,18.350000,1.550636,4.440942,6.530797,0.000000,0.000000
0.020000,6.141414,18.350000,1.642067,4.571558,6.530797,0.000000,0.000000
0.020000,6.235458,18.350000,1.736111,4.702174,6.530797,-0.000000,0.000000
0.020000,6.332113,18.350000,1.832766,4.832790,6.530797,0.000000,0.000000
0.020000,6.431381,18.350000,1.932035,4.963406,6.530797,-0.000000,0.000000
0.020000,6.533262,18.350000,2.033915,5.094022,6.530797,0.000000,0.000000
0.020000,6.637755,18.350000,2.138408,5.224638,6.530797,-0.000000,0.000000
0.020000,6.744860,18.350000,2.245513,5.355254,6.530797,0.000000,0.000000
0.020000,6.854577,18.350000,2.355230,5.485870,6.530797,0.000000,0.000000
0.020000,6.966907,18.350000,2.467560,5.616486,6.530797,-0.000000,0.000000
0.020000,7.081849,18.350000,2.582502,5.747102,6.530797,0.000000,0.000000
0.020000,7.199403,18.350000,2.700056,5.877718,6.530797,-0.000000,0.000000
0.020000,7.319570,18.350000,2.820223,6.008334,6.530797,0.000000,0.000000
0.020000,7.442349,18.350000,2.943002,6.138950,6.530797,0.000000,0.000000
0.020000,7.567740,18.350000,3.068393,6.269565,6.530797,-0.000000,0.000000
0.020000,7.695744,18.350000,3.196397,6.400181,6.530797,0.000000,0.000000
0.020000,7.826360,18.350000,3.327013,6.530797,6.530797,0.000000,0.000000
0.020000,7.959588,18.350000,3.460241,6.661413,6.530797,-0.000000,0.000000
0.020000,8.095429,18.350000,3.596082,6.792029,6.530797,0.000000,0.000000
0.020000,8.233882,18.350000,3.734535,6.922645,6.530797,-0.000000,0.000000
0.020000,8.374947,18.350000,3.875600,7.053261,6.530797,0.000000,0.000000
0.020000,8.518624,18.350000,4.019277,7.183877,6.530797,-0.000000,0.000000
0.020000,8.664914,18.350000,4.165567,7.314493,6.530797,0.000000,0.000000
0.020000,8.813816,18.350000,4.314469,7.445109,6.530797,0.000000,0.000000
0.020000,8.965331,18.350000,4.465984,7.575725,6.530797,0.000000,0.000000
0.020000,9.119458,18.350000,4.620111,7.706341,6.530797,-0.000000,0.000000
0.020000,9.276197,18.350000,4.776850,7.836957,6.530797,0.000000,0.000000
0.020000,9.435548,18.350000,4.936201,7.967573,6.530797,-0.000000,0.000000
0.020000,9.640991,18.347259,5.141663,10.273068,115.274759,5437.198058,6.244160
0.020000,9.895660,18.328076,5.397053,12.769510,124.822120,477.368082,6.171463
0.020000,10.155658,18.288795,5.660001,13.147407,18.894807,-5296.365671,6.094804
0.020000,10.417013,18.228204,5.928288,13.414370,13.348154,-277.332662,6.015958
0.020000,10.675193,18.146426,6.199110,13.541099,6.336456,-350.584867,5.937175
0.020000,10.925782,18.045053,6.469427,13.515842,-1.262846,-379.965087,5.860889
0.020000,11.165185,17.926909,6.736395,13.348387,-8.372722,-355.493832,5.789380
0.020000,11.391084,17.795541,6.997714,13.065973,-14.120723,-287.400043,5.724487
0.020000,11.602526,17.654658,7.251792,12.703889,-18.104209,-199.174294,5.667487
0.020000,11.799702,17.507704,7.497707,12.295741,-20.407373,-115.158180,5.619116
0.020000,11.982979,17.358173,7.734245,11.826888,-23.442678,-151.765259,5.579821
0.020000,12.152396,17.209882,7.959395,11.257491,-28.469855,-251.358864,5.549821
0.020000,12.308512,17.066056,8.171663,10.613431,-32.202966,-186.655574,5.528923
0.020000,12.452708,16.928720,8.370796,9.956623,-32.840412,-31.872256,5.516626
0.020000,12.586641,16.799031,8.557229,9.321652,-31.748567,54.592214,5.512399
0.020000,12.711770,16.677766,8.731477,8.712427,-30.461246,64.366066,5.515830
0.020000,12.829195,16.565572,8.893884,8.120319,-29.605413,42.791630,5.526645
0.020000,12.939689,16.463000,9.044648,7.538241,-29.103856,25.077848,5.544681
0.020000,13.043746,16.370498,9.183877,6.961426,-28.840759,13.154877,5.569856
0.020000,13.141627,16.288383,9.311641,6.388185,-28.662042,8.935850,5.602111
0.020000,13.233428,16.216790,9.428057,5.820825,-28.368018,14.701193,5.641353
0.020000,13.319167,16.155610,9.533386,5.266444,-27.719048,32.448510,5.687373
0.020000,13.398905,16.104433,9.628135,4.737425,-26.450962,63.404312,5.739767
0.020000,13.472882,16.062534,9.713154,4.250953,-24.323605,106.367814,5.797853
0.020000,13.541643,16.028909,9.789695,3.827082,-21.193533,156.503600,5.860631
0.020000,13.606108,16.002398,9.859399,3.485179,-17.095164,204.918484,5.926789
0.020000,13.667549,15.981845,9.924186,3.239370,-12.290418,240.237268,5.994791
0.020000,13.762435,15.956337,10.022441,4.912755,83.669232,4797.982523,6.030557
0.020000,13.880119,15.927133,10.143694,6.062657,57.495080,-1308.707600,6.049215
0.020000,13.996868,15.900408,10.263463,5.988447,-3.710467,-3060.277354,6.066971
0.020000,14.112612,15.876012,10.381750,5.914334,-3.705663,0.240194,6.083823
0.020000,14.227279,15.853801,10.498548,5.839912,-3.721100,-0.771846,6.099775
0.020000,14.340798,15.833634,10.613845,5.764839,-3.753678,-1.628892,6.114839
0.020000,14.453099,15.815373,10.727621,5.688811,-3.801365,-2.384363,6.129030
0.020000,14.564113,15.798887,10.839853,5.611582,-3.861446,-3.004033,6.142367
