dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,24.800000,0.000656,0.065598,3.279889,163.994457,0.000162
0.020000,0.500000,24.800000,0.003280,0.196793,6.559778,163.994457,0.000093
0.020000,0.501771,24.800000,0.008528,0.327989,6.559778,0.000000,6.283138
0.020000,0.509643,24.799999,0.016399,0.459184,6.559778,-0.000000,6.282928
0.020000,0.520138,24.799995,0.026895,0.590380,6.559778,0.000000,6.282648
0.020000,0.533258,24.799985,0.040015,0.721576,6.559778,0.000000,6.282296
0.020000,0.549001,24.799968,0.055758,0.852771,6.559778,0.000000,6.281873
0.020000,0.567369,24.799939,0.074125,0.983967,6.559778,-0.000000,6.281377
0.020000,0.588360,24.799895,0.095117,1.115162,6.559778,0.000000,6.280807
0.020000,0.611975,24.799832,0.118732,1.246358,6.559778,-0.000000,6.280162
0.020000,0.638214,24.799743,0.144971,1.377553,6.559778,0.000000,6.279442
0.020000,0.667077,24.799623,0.173834,1.508749,6.559778,-0.000000,6.278644
0.020000,0.698563,24.799466,0.205321,1.639945,6.559778,0.000000,6.277767
0.020000,0.732674,24.799265,0.239432,1.771140,6.559778,-0.000000,6.276809
0.020000,0.769407,24.799012,0.276167,1.902336,6.559778,0.000000,6.275769
0.020000,0.808765,24.798698,0.315525,2.033531,6.559778,-0.000000,6.274644
0.020000,0.850746,24.798314,0.357508,2.164727,6.559778,0.000000,6.273433
0.020000,0.895350,24.797850,0.402114,2.295922,6.559778,0.000000,6.272133
0.020000,0.942577,24.797295,0.449345,2.427118,6.559778,-0.000000,6.270742
0.020000,0.992427,24.796638,0.499199,2.558314,6.559778,0.000000,6.269257
0.020000,1.044899,24.795866,0.551677,2.689509,6.559778,0.000000,6.267676
0.020000,1.099994,24.794965,0.606779,2.820705,6.559778,0.000000,6.265995
0.020000,1.157711,24.793921,0.664506,2.951900,6.559778,-0.000000,6.264212
0.020000,1.218049,24.792720,0.724856,3.083096,6.559778,0.000000,6.262324
0.020000,1.281008,24.791343,0.787829,3.214291,6.559778,0.000000,6.260327
0.020000,1.346587,24.789775,0.853427,3.345487,6.559778,-0.000000,6.258217
0.020000,1.414785,24.787996,0.921649,3.476682,6.559778,0.000000,6.255992
0.020000,1.485602,24.785987,0.992494,3.607878,6.559778,-0.000000,6.253648
0.020000,1.559037,24.783727,1.065964,3.739074,6.559778,0.000000,6.251180
0.020000,1.635088,24.781193,1.142057,3.870269,6.559778,-0.000000,6.248585
0.020000,1.713755,24.778363,1.220775,4.001465,6.559778,0.000000,6.245858
0.020000,1.795035,24.775212,1.302116,4.132660,6.559778,0.000000,6.242995
0.020000,1.878927,24.771712,1.386081,4.263856,6.559778,0.000000,6.239992
0.020000,1.965429,24.767838,1.472670,4.395051,6.559778,-0.000000,6.236843
0.020000,2.054539,24.763558,1.561883,4.526247,6.559778,0.000000,6.233545
0.020000,2.146255,24.758843,1.653720,4.657443,6.559778,-0.000000,6.230092
0.020000,2.240574,24.753660,1.748181,4.788638,6.559778,0.000000,6.226478
0.020000,2.337492,24.747975,1.845266,4.919834,6.559778,0.000000,6.222700
0.020000,2.437006,24.741752,1.944974,5.051029,6.559778,-0.000000,6.218751
0.020000,2.539112,24.734953,2.047307,5.182225,6.559778,0.000000,6.214627
0.020000,2.643806,24.727538,2.152263,5.313420,6.559778,0.000000,6.210320
0.020000,2.751083,24.719466,2.259844,5.444616,6.559778,-0.000000,6.205826
0.020000,2.860938,24.710693,2.370048,5.575812,6.559778,0.000000,6.201139
0.020000,2.973363,24.701172,2.482876,5.707007,6.559778,-0.000000,6.196253
0.020000,3.088354,24.690856,2.598328,5.838203,6.559778,0.000000,6.191162
0.020000,3.205901,24.679695,2.716404,5.969398,6.559778,0.000000,6.185859
0.020000,3.325997,24.667636,2.837104,6.100594,6.559778,0.000000,6.180338
0.020000,3.448632,24.654623,2.960428,6.231789,6.559778,-0.000000,6.174593
0.020000,3.573796,24.640601,3.086376,6.362985,6.559778,0.000000,6.168619
0.020000,3.701479,24.625507,3.214947,6.494181,6.559778,0.000000,6.162407
0.020000,3.831667,24.609281,3.346143,6.625376,6.559778,-0.000000,6.155953
0.020000,3.964347,24.591858,3.479962,6.756572,6.559778,0.000000,6.149249
0.020000,4.099504,24.573168,3.616406,6.887767,6.559778,-0.000000,6.142289
0.020000,4.237122,24.553144,3.755473,7.018963,6.559778,0.000000,6.135068
0.020000,4.377182,24.531710,3.897164,7.150158,6.559778,-0.000000,6.127579
0.020000,4.519666,24.508793,4.041479,7.281354,6.559778,0.000000,6.119815
0.020000,4.664551,24.484313,4.188418,7.412549,6.559778,0.000000,6.111772
