dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499797,26.050000,0.000656,0.065600,3.279988,163.999392,0.000162
0.020000,0.499884,26.050000,0.000743,0.004360,-3.061964,-317.097593,0.000093
0.020000,0.501830,26.050000,0.002689,0.097287,4.646349,385.415663,6.283138
0.020000,0.509964,26.049999,0.010823,0.406715,15.471362,541.250626,6.282928
0.020000,0.520811,26.049994,0.021670,0.542325,6.780540,-434.541112,6.282648
0.020000,0.534370,26.049985,0.035229,0.677974,6.782401,0.093082,6.282296
0.020000,0.550644,26.049967,0.051503,0.813664,6.784528,0.106326,6.281873
0.020000,0.569632,26.049937,0.070491,0.949405,6.787061,0.126678,6.281377
0.020000,0.591336,26.049892,0.092195,1.085210,6.790218,0.157831,6.280807
0.020000,0.615757,26.049826,0.116616,1.221083,6.793686,0.173399,6.280162
0.020000,0.642898,26.049734,0.143757,1.357034,6.797547,0.193066,6.279442
0.020000,0.672759,26.049610,0.173619,1.493073,6.801939,0.219588,6.278644
0.020000,0.705343,26.049448,0.206203,1.629209,6.806785,0.242294,6.277766
0.020000,0.740651,26.049240,0.241512,1.765449,6.812009,0.261212,6.276809
0.020000,0.778686,26.048978,0.279548,1.901803,6.817683,0.283679,6.275769
0.020000,0.819451,26.048652,0.320313,2.038281,6.823926,0.312168,6.274644
0.020000,0.862947,26.048254,0.363811,2.174889,6.830411,0.324248,6.273433
0.020000,0.909177,26.047774,0.410044,2.311641,6.837598,0.359331,6.272133
0.020000,0.958145,26.047198,0.459015,2.448541,6.844982,0.369229,6.270742
0.020000,1.009852,26.046517,0.510727,2.585600,6.852945,0.398119,6.269257
0.020000,1.064303,26.045715,0.565183,2.722830,6.861490,0.427280,6.267675
0.020000,1.121500,26.044780,0.622388,2.860234,6.870236,0.437307,6.265995
0.020000,1.181447,26.043696,0.682345,2.997828,6.879703,0.473332,6.264212
0.020000,1.244146,26.042447,0.745057,3.135617,6.889415,0.485602,6.262323
0.020000,1.309603,26.041016,0.810529,3.273611,6.899718,0.515134,6.260326
0.020000,1.377820,26.039385,0.878766,3.411821,6.910512,0.539720,6.258217
0.020000,1.448801,26.037533,0.949771,3.550255,6.921678,0.558286,6.255991
0.020000,1.522550,26.035441,1.023549,3.688922,6.933374,0.584791,6.253647
0.020000,1.599070,26.033085,1.100106,3.827834,6.945559,0.609248,6.251179
0.020000,1.678366,26.030444,1.179446,3.966998,6.958237,0.633920,6.248584
0.020000,1.760441,26.027491,1.261574,4.106423,6.971228,0.649531,6.245856
0.020000,1.845300,26.024201,1.346497,4.246121,6.984923,0.684791,6.242993
0.020000,1.932946,26.020545,1.434219,4.386100,6.998924,0.700013,6.239990
0.020000,2.023383,26.016493,1.524746,4.526368,7.013432,0.725437,6.236841
0.020000,2.116614,26.012016,1.618085,4.666936,7.028391,0.747907,6.233543
0.020000,2.212643,26.007079,1.714241,4.807814,7.043900,0.775471,6.230090
0.020000,2.311474,26.001648,1.813221,4.949009,7.059715,0.790777,6.226476
0.020000,2.413110,25.995686,1.915032,5.090529,7.076031,0.815765,6.222698
0.020000,2.517554,25.989154,2.019680,5.232387,7.092871,0.842025,6.218749
0.020000,2.624808,25.982012,2.127171,5.374587,7.109999,0.856397,6.214624
0.020000,2.734875,25.974217,2.237514,5.517138,7.127572,0.878628,6.210317
0.020000,2.847757,25.965722,2.350715,5.660049,7.145527,0.897768,6.205824
0.020000,2.963455,25.956482,2.466782,5.803326,7.163874,0.917345,6.201136
0.020000,3.081970,25.946445,2.585721,5.946976,7.182486,0.930580,6.196250
0.020000,3.203303,25.935560,2.707541,6.091006,7.201501,0.950762,6.191158
0.020000,3.327453,25.923771,2.832250,6.235419,7.220661,0.957990,6.185855
0.020000,3.454419,25.911021,2.959854,6.380223,7.240199,0.976895,6.180334
0.020000,3.584199,25.897250,3.090362,6.525420,7.259831,0.981626,6.174589
0.020000,3.716789,25.882395,3.223783,6.671011,7.279571,0.986999,6.168614
0.020000,3.852187,25.866389,3.360123,6.817000,7.299465,0.994694,6.162402
0.020000,3.990385,25.849164,3.499390,6.963387,7.319319,0.992687,6.155948
0.020000,4.131378,25.830648,3.641594,7.110170,7.339150,0.991544,6.149243
0.020000,4.275157,25.810765,3.786741,7.257346,7.358808,0.982936,6.142284
0.020000,4.421711,25.789439,3.934839,7.404911,7.378242,0.971691,6.135062
0.020000,4.571030,25.766588,4.085896,7.552858,7.397347,0.955222,6.127572
0.020000,4.723099,25.742128,4.239920,7.701178,7.416029,0.934146,6.119809
0.020000,4.877902,25.715971,4.396917,7.849860,7.434105,0.903778,6.111766
0.020000,5.035420,25.688027,4.556895,7.998890,7.451499,0.869719,6.103437
0.020000,5.195633,25.658203,4.719860,8.148253,7.468154,0.832737,6.094818
0.020000,5.358516,25.626402,4.885818,8.297927,7.483663,0.775418,6.085903
0.020000,5.524043,25.592524,5.054776,8.447889,7.498144,0.724064,6.076687
0.020000,5.692182,25.556467,5.226738,8.598115,7.511293,0.657439,6.067168
0.020000,5.862901,25.518126,5.401710,8.748574,7.522934,0.582063,6.057340
0.020000,6.036162,25.477393,5.579694,8.899230,7.532806,0.493605,6.047201
0.020000,6.211924,25.434158,5.760695,9.050048,7.540897,0.404575,6.036748
0.020000,6.390140,25.388308,5.944715,9.200984,7.546818,0.296030,6.025979
0.020000,6.570761,25.339729,6.131755,9.351993,7.550435,0.180844,6.014893
0.020000,6.753732,25.288305,6.321815,9.503024,7.551550,0.055774,6.003489
0.020000,6.938995,25.233918,6.514896,9.654024,7.549977,-0.078681,5.991769
0.020000,7.126483,25.176450,6.710994,9.804928,7.545228,-0.237458,5.979734
0.020000,7.316129,25.115781,6.910108,9.955682,7.537685,-0.377125,5.967385
0.020000,7.507858,25.051793,7.112232,10.106217,7.526748,-0.546841,5.954727
0.020000,7.709639,24.980478,7.326246,10.700658,29.722041,1109.764633,5.931396
0.020000,7.915871,24.902000,7.546904,11.032941,16.614167,-655.393686,5.908106
0.020000,8.120147,24.819034,7.767386,11.024073,-0.443415,-852.879102,5.887058
0.020000,8.322396,24.732173,7.987498,11.005604,-0.923434,-24.000946,5.868405
0.020000,8.522610,24.642028,8.207070,10.978609,-1.349777,-21.317173,5.852284
0.020000,8.720840,24.549224,8.425949,10.943921,-1.734397,-19.230988,5.838817
0.020000,8.917180,24.454393,8.643991,10.902113,-2.090383,-17.799322,5.828120
0.020000,9.111762,24.358178,8.861061,10.853494,-2.430950,-17.028326,5.820300
0.020000,9.304740,24.261228,9.077023,10.798126,-2.768404,-16.872706,5.815465
0.020000,9.496287,24.164205,9.291740,10.735861,-3.113254,-17.242508,5.813726
0.020000,9.686580,24.067783,9.505068,10.666395,-3.473279,-18.001246,5.815197
0.020000,9.875797,23.972648,9.716855,10.589342,-3.852651,-18.968614,5.820000
0.020000,10.064106,23.879502,9.926942,10.504329,-4.250650,-19.899957,5.828263
