dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500203,23.550000,0.000656,0.065600,3.279988,163.999392,0.000162
0.020000,0.500116,23.550000,0.000743,0.004360,-3.061964,-317.097593,0.000093
0.020000,0.501712,23.550000,0.002340,0.079828,3.773395,341.767943,6.283138
0.020000,0.509322,23.549999,0.009949,0.380483,15.032723,562.966391,6.282928
0.020000,0.519467,23.549995,0.020095,0.507269,6.339292,-434.671509,6.282648
0.020000,0.532148,23.549986,0.032775,0.634022,6.337670,-0.081133,6.282296
0.020000,0.547362,23.549969,0.047990,0.760731,6.335452,-0.110912,6.281873
0.020000,0.565110,23.549941,0.065738,0.887386,6.332769,-0.134117,6.281377
0.020000,0.585390,23.549899,0.086017,1.013983,6.329823,-0.147321,6.280807
0.020000,0.608200,23.549837,0.108827,1.140509,6.326319,-0.175201,6.280162
0.020000,0.633539,23.549752,0.134167,1.266956,6.322331,-0.199366,6.279442
0.020000,0.661405,23.549636,0.162033,1.393316,6.317986,-0.217267,6.278644
0.020000,0.691796,23.549485,0.192424,1.519580,6.313208,-0.238884,6.277766
0.020000,0.724710,23.549291,0.225339,1.645738,6.307925,-0.264196,6.276809
0.020000,0.760145,23.549046,0.260775,1.771782,6.302197,-0.286367,6.275769
0.020000,0.798098,23.548743,0.298729,1.897705,6.296135,-0.303118,6.274644
0.020000,0.838566,23.548373,0.339199,2.023494,6.289428,-0.335344,6.273433
0.020000,0.881547,23.547926,0.382182,2.149144,6.282501,-0.346360,6.272133
0.020000,0.927036,23.547392,0.427675,2.274641,6.274880,-0.381015,6.270742
0.020000,0.975032,23.546759,0.475674,2.399979,6.266916,-0.398214,6.269257
0.020000,1.025529,23.546016,0.526177,2.525152,6.258608,-0.415399,6.267675
0.020000,1.078525,23.545149,0.579180,2.650144,6.249597,-0.450545,6.265995
0.020000,1.134015,23.544146,0.634679,2.774951,6.240362,-0.461789,6.264212
0.020000,1.191995,23.542991,0.692670,2.899560,6.230457,-0.495247,6.262323
0.020000,1.252460,23.541669,0.753150,3.023964,6.220199,-0.512903,6.260326
